index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
27501,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Kenya,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,150,United States,2005,198.78
27525,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Kyrgyzstan,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,215,United States,2005,284.92
27526,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Tajikistan,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,80,United States,2005,106.02
27527,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Uzbekistan,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,122,United States,2005,161.67
27528,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Moldova,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,4497,United States,2005,5959.41
27529,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Ukraine,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,12161,United States,2005,16115.72
27530,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Indonesia,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,302,United States,2005,400.21
27531,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,South Korea,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,363,United States,2005,481.05
27532,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Sri Lanka,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,1303,United States,2005,1726.73
27533,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Timor-Leste,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,161,United States,2005,213.36
27534,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Bangladesh,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,209,United States,2005,276.97
27535,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Bhutan,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,175,United States,2005,231.91
27536,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,India,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,201,United States,2005,266.36
