index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
29901,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Yearly Visual Inspection with Acetic Acid (VIA)_20-65 + vaccination vs. Yearly Visual Inspection with Acetic Acid (VIA)_25-65 + vaccination,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,30462,United States,2013,33842.73
29924,Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis,"BACKGROUND: The coverage of prevention and treatment strategies for ischemic heart disease and stroke is very low in Ethiopia. In view of Ethiopia''s meager healthcare budget, it is important to identify the most cost-effective interventions for further scale-up. This paper''s objective is to assess cost-effectiveness of prevention and treatment of ischemic heart disease (IHD) and stroke in an Ethiopian setting. METHODS: Fifteen single interventions and sixteen intervention packages were assessed from a healthcare provider perspective. The World Health Organization''s Choosing Interventions that are Cost-Effective model for cardiovascular disease was updated with available country-specific inputs, including demography, mortality and price of traded and non-traded goods. Costs and health benefits were discounted at 3 % per year. Incremental cost-effectiveness ratios are reported in US$ per disability adjusted life year (DALY) averted. Sensitivity analysis was undertaken to assess robustness of our results. RESULTS: Combination drug treatment for individuals having >35 % absolute risk of a CVD event in the next 10 years is the most cost-effective intervention. This intervention costs US$67 per DALY averted and about US$7 million annually. Treatment of acute myocardial infarction (AMI) (costing US$1000-US$7530 per DALY averted) and secondary prevention of IHD and stroke (costing US$1060-US$10,340 per DALY averted) become more efficient when delivered in integrated packages. At an annual willingness-to-pay (WTP) level of about US$3 million, a package consisting of aspirin, streptokinase, ACE-inhibitor and beta-blocker for AMI has the highest probability of being most cost-effective, whereas as WTP increases to > US$7 million, combination drug treatment to individuals having >35 % absolute risk stands out as the most cost-effective strategy. Cost-effectiveness ratios were relatively more sensitive to halving the effectiveness estimates as compared with doubling the price of drugs and laboratory tests. CONCLUSIONS: In Ethiopia, the escalating burden of CVD and its risk factors warrants timely action. We have demonstrated that selected CVD intervention packages could be scaled up at a modest budget increase. The level of willingness-to-pay has important implications for interventions'' probability of being cost-effective. The study provides valuable evidence for setting priorities in an essential healthcare package for CVD in Ethiopia.",2016-99-22354,27524939,Cost Eff Resour Alloc,Mieraf Taddesse Tolla,2016,14 /,10,Yes,27524939,"Mieraf Taddesse Tolla; Ole Frithjof Norheim; Solomon Tessema Memirie; Senbeta Guteta Abdisa; Awel Ababulgu; Degu Jerene; Melanie Bertram; Kirsten Strand; Stephane Verguet; Kjell Arne Johansson; Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis, Cost Eff Resour Alloc, 2016; 14():1478-7547; 10",DALY,Ethiopia,Not Stated,Pharmaceutical,Aspirin + clopidogrel vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3.00,3.00,1556,United States,2012,1754.01
29925,Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis,"BACKGROUND: The coverage of prevention and treatment strategies for ischemic heart disease and stroke is very low in Ethiopia. In view of Ethiopia''s meager healthcare budget, it is important to identify the most cost-effective interventions for further scale-up. This paper''s objective is to assess cost-effectiveness of prevention and treatment of ischemic heart disease (IHD) and stroke in an Ethiopian setting. METHODS: Fifteen single interventions and sixteen intervention packages were assessed from a healthcare provider perspective. The World Health Organization''s Choosing Interventions that are Cost-Effective model for cardiovascular disease was updated with available country-specific inputs, including demography, mortality and price of traded and non-traded goods. Costs and health benefits were discounted at 3 % per year. Incremental cost-effectiveness ratios are reported in US$ per disability adjusted life year (DALY) averted. Sensitivity analysis was undertaken to assess robustness of our results. RESULTS: Combination drug treatment for individuals having >35 % absolute risk of a CVD event in the next 10 years is the most cost-effective intervention. This intervention costs US$67 per DALY averted and about US$7 million annually. Treatment of acute myocardial infarction (AMI) (costing US$1000-US$7530 per DALY averted) and secondary prevention of IHD and stroke (costing US$1060-US$10,340 per DALY averted) become more efficient when delivered in integrated packages. At an annual willingness-to-pay (WTP) level of about US$3 million, a package consisting of aspirin, streptokinase, ACE-inhibitor and beta-blocker for AMI has the highest probability of being most cost-effective, whereas as WTP increases to > US$7 million, combination drug treatment to individuals having >35 % absolute risk stands out as the most cost-effective strategy. Cost-effectiveness ratios were relatively more sensitive to halving the effectiveness estimates as compared with doubling the price of drugs and laboratory tests. CONCLUSIONS: In Ethiopia, the escalating burden of CVD and its risk factors warrants timely action. We have demonstrated that selected CVD intervention packages could be scaled up at a modest budget increase. The level of willingness-to-pay has important implications for interventions'' probability of being cost-effective. The study provides valuable evidence for setting priorities in an essential healthcare package for CVD in Ethiopia.",2016-99-22354,27524939,Cost Eff Resour Alloc,Mieraf Taddesse Tolla,2016,14 /,10,Yes,27524939,"Mieraf Taddesse Tolla; Ole Frithjof Norheim; Solomon Tessema Memirie; Senbeta Guteta Abdisa; Awel Ababulgu; Degu Jerene; Melanie Bertram; Kirsten Strand; Stephane Verguet; Kjell Arne Johansson; Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis, Cost Eff Resour Alloc, 2016; 14():1478-7547; 10",DALY,Ethiopia,Not Stated,Pharmaceutical,Aspirin + streptokinase vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3.00,3.00,1295,United States,2012,1459.8
29926,Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis,"BACKGROUND: The coverage of prevention and treatment strategies for ischemic heart disease and stroke is very low in Ethiopia. In view of Ethiopia''s meager healthcare budget, it is important to identify the most cost-effective interventions for further scale-up. This paper''s objective is to assess cost-effectiveness of prevention and treatment of ischemic heart disease (IHD) and stroke in an Ethiopian setting. METHODS: Fifteen single interventions and sixteen intervention packages were assessed from a healthcare provider perspective. The World Health Organization''s Choosing Interventions that are Cost-Effective model for cardiovascular disease was updated with available country-specific inputs, including demography, mortality and price of traded and non-traded goods. Costs and health benefits were discounted at 3 % per year. Incremental cost-effectiveness ratios are reported in US$ per disability adjusted life year (DALY) averted. Sensitivity analysis was undertaken to assess robustness of our results. RESULTS: Combination drug treatment for individuals having >35 % absolute risk of a CVD event in the next 10 years is the most cost-effective intervention. This intervention costs US$67 per DALY averted and about US$7 million annually. Treatment of acute myocardial infarction (AMI) (costing US$1000-US$7530 per DALY averted) and secondary prevention of IHD and stroke (costing US$1060-US$10,340 per DALY averted) become more efficient when delivered in integrated packages. At an annual willingness-to-pay (WTP) level of about US$3 million, a package consisting of aspirin, streptokinase, ACE-inhibitor and beta-blocker for AMI has the highest probability of being most cost-effective, whereas as WTP increases to > US$7 million, combination drug treatment to individuals having >35 % absolute risk stands out as the most cost-effective strategy. Cost-effectiveness ratios were relatively more sensitive to halving the effectiveness estimates as compared with doubling the price of drugs and laboratory tests. CONCLUSIONS: In Ethiopia, the escalating burden of CVD and its risk factors warrants timely action. We have demonstrated that selected CVD intervention packages could be scaled up at a modest budget increase. The level of willingness-to-pay has important implications for interventions'' probability of being cost-effective. The study provides valuable evidence for setting priorities in an essential healthcare package for CVD in Ethiopia.",2016-99-22354,27524939,Cost Eff Resour Alloc,Mieraf Taddesse Tolla,2016,14 /,10,Yes,27524939,"Mieraf Taddesse Tolla; Ole Frithjof Norheim; Solomon Tessema Memirie; Senbeta Guteta Abdisa; Awel Ababulgu; Degu Jerene; Melanie Bertram; Kirsten Strand; Stephane Verguet; Kjell Arne Johansson; Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis, Cost Eff Resour Alloc, 2016; 14():1478-7547; 10",DALY,Ethiopia,Not Stated,Pharmaceutical,Aspirin + streptokinase + ACE inhibitors vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3.00,3.00,1149,United States,2012,1295.22
29927,Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis,"BACKGROUND: The coverage of prevention and treatment strategies for ischemic heart disease and stroke is very low in Ethiopia. In view of Ethiopia''s meager healthcare budget, it is important to identify the most cost-effective interventions for further scale-up. This paper''s objective is to assess cost-effectiveness of prevention and treatment of ischemic heart disease (IHD) and stroke in an Ethiopian setting. METHODS: Fifteen single interventions and sixteen intervention packages were assessed from a healthcare provider perspective. The World Health Organization''s Choosing Interventions that are Cost-Effective model for cardiovascular disease was updated with available country-specific inputs, including demography, mortality and price of traded and non-traded goods. Costs and health benefits were discounted at 3 % per year. Incremental cost-effectiveness ratios are reported in US$ per disability adjusted life year (DALY) averted. Sensitivity analysis was undertaken to assess robustness of our results. RESULTS: Combination drug treatment for individuals having >35 % absolute risk of a CVD event in the next 10 years is the most cost-effective intervention. This intervention costs US$67 per DALY averted and about US$7 million annually. Treatment of acute myocardial infarction (AMI) (costing US$1000-US$7530 per DALY averted) and secondary prevention of IHD and stroke (costing US$1060-US$10,340 per DALY averted) become more efficient when delivered in integrated packages. At an annual willingness-to-pay (WTP) level of about US$3 million, a package consisting of aspirin, streptokinase, ACE-inhibitor and beta-blocker for AMI has the highest probability of being most cost-effective, whereas as WTP increases to > US$7 million, combination drug treatment to individuals having >35 % absolute risk stands out as the most cost-effective strategy. Cost-effectiveness ratios were relatively more sensitive to halving the effectiveness estimates as compared with doubling the price of drugs and laboratory tests. CONCLUSIONS: In Ethiopia, the escalating burden of CVD and its risk factors warrants timely action. We have demonstrated that selected CVD intervention packages could be scaled up at a modest budget increase. The level of willingness-to-pay has important implications for interventions'' probability of being cost-effective. The study provides valuable evidence for setting priorities in an essential healthcare package for CVD in Ethiopia.",2016-99-22354,27524939,Cost Eff Resour Alloc,Mieraf Taddesse Tolla,2016,14 /,10,Yes,27524939,"Mieraf Taddesse Tolla; Ole Frithjof Norheim; Solomon Tessema Memirie; Senbeta Guteta Abdisa; Awel Ababulgu; Degu Jerene; Melanie Bertram; Kirsten Strand; Stephane Verguet; Kjell Arne Johansson; Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis, Cost Eff Resour Alloc, 2016; 14():1478-7547; 10",DALY,Ethiopia,Not Stated,Pharmaceutical,Primary percutaneous coronary intervention vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3.00,3.00,3013,United States,2012,3396.42
29928,Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis,"BACKGROUND: The coverage of prevention and treatment strategies for ischemic heart disease and stroke is very low in Ethiopia. In view of Ethiopia''s meager healthcare budget, it is important to identify the most cost-effective interventions for further scale-up. This paper''s objective is to assess cost-effectiveness of prevention and treatment of ischemic heart disease (IHD) and stroke in an Ethiopian setting. METHODS: Fifteen single interventions and sixteen intervention packages were assessed from a healthcare provider perspective. The World Health Organization''s Choosing Interventions that are Cost-Effective model for cardiovascular disease was updated with available country-specific inputs, including demography, mortality and price of traded and non-traded goods. Costs and health benefits were discounted at 3 % per year. Incremental cost-effectiveness ratios are reported in US$ per disability adjusted life year (DALY) averted. Sensitivity analysis was undertaken to assess robustness of our results. RESULTS: Combination drug treatment for individuals having >35 % absolute risk of a CVD event in the next 10 years is the most cost-effective intervention. This intervention costs US$67 per DALY averted and about US$7 million annually. Treatment of acute myocardial infarction (AMI) (costing US$1000-US$7530 per DALY averted) and secondary prevention of IHD and stroke (costing US$1060-US$10,340 per DALY averted) become more efficient when delivered in integrated packages. At an annual willingness-to-pay (WTP) level of about US$3 million, a package consisting of aspirin, streptokinase, ACE-inhibitor and beta-blocker for AMI has the highest probability of being most cost-effective, whereas as WTP increases to > US$7 million, combination drug treatment to individuals having >35 % absolute risk stands out as the most cost-effective strategy. Cost-effectiveness ratios were relatively more sensitive to halving the effectiveness estimates as compared with doubling the price of drugs and laboratory tests. CONCLUSIONS: In Ethiopia, the escalating burden of CVD and its risk factors warrants timely action. We have demonstrated that selected CVD intervention packages could be scaled up at a modest budget increase. The level of willingness-to-pay has important implications for interventions'' probability of being cost-effective. The study provides valuable evidence for setting priorities in an essential healthcare package for CVD in Ethiopia.",2016-99-22354,27524939,Cost Eff Resour Alloc,Mieraf Taddesse Tolla,2016,14 /,10,Yes,27524939,"Mieraf Taddesse Tolla; Ole Frithjof Norheim; Solomon Tessema Memirie; Senbeta Guteta Abdisa; Awel Ababulgu; Degu Jerene; Melanie Bertram; Kirsten Strand; Stephane Verguet; Kjell Arne Johansson; Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis, Cost Eff Resour Alloc, 2016; 14():1478-7547; 10",DALY,Ethiopia,Not Stated,Pharmaceutical,Aspirin + streptokinase + ACE inhibitors + beta-blocker vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3.00,3.00,999,United States,2012,1126.13
29929,Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis,"BACKGROUND: The coverage of prevention and treatment strategies for ischemic heart disease and stroke is very low in Ethiopia. In view of Ethiopia''s meager healthcare budget, it is important to identify the most cost-effective interventions for further scale-up. This paper''s objective is to assess cost-effectiveness of prevention and treatment of ischemic heart disease (IHD) and stroke in an Ethiopian setting. METHODS: Fifteen single interventions and sixteen intervention packages were assessed from a healthcare provider perspective. The World Health Organization''s Choosing Interventions that are Cost-Effective model for cardiovascular disease was updated with available country-specific inputs, including demography, mortality and price of traded and non-traded goods. Costs and health benefits were discounted at 3 % per year. Incremental cost-effectiveness ratios are reported in US$ per disability adjusted life year (DALY) averted. Sensitivity analysis was undertaken to assess robustness of our results. RESULTS: Combination drug treatment for individuals having >35 % absolute risk of a CVD event in the next 10 years is the most cost-effective intervention. This intervention costs US$67 per DALY averted and about US$7 million annually. Treatment of acute myocardial infarction (AMI) (costing US$1000-US$7530 per DALY averted) and secondary prevention of IHD and stroke (costing US$1060-US$10,340 per DALY averted) become more efficient when delivered in integrated packages. At an annual willingness-to-pay (WTP) level of about US$3 million, a package consisting of aspirin, streptokinase, ACE-inhibitor and beta-blocker for AMI has the highest probability of being most cost-effective, whereas as WTP increases to > US$7 million, combination drug treatment to individuals having >35 % absolute risk stands out as the most cost-effective strategy. Cost-effectiveness ratios were relatively more sensitive to halving the effectiveness estimates as compared with doubling the price of drugs and laboratory tests. CONCLUSIONS: In Ethiopia, the escalating burden of CVD and its risk factors warrants timely action. We have demonstrated that selected CVD intervention packages could be scaled up at a modest budget increase. The level of willingness-to-pay has important implications for interventions'' probability of being cost-effective. The study provides valuable evidence for setting priorities in an essential healthcare package for CVD in Ethiopia.",2016-99-22354,27524939,Cost Eff Resour Alloc,Mieraf Taddesse Tolla,2016,14 /,10,Yes,27524939,"Mieraf Taddesse Tolla; Ole Frithjof Norheim; Solomon Tessema Memirie; Senbeta Guteta Abdisa; Awel Ababulgu; Degu Jerene; Melanie Bertram; Kirsten Strand; Stephane Verguet; Kjell Arne Johansson; Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis, Cost Eff Resour Alloc, 2016; 14():1478-7547; 10",DALY,Ethiopia,Not Stated,Pharmaceutical,Aspirin + clopidogrel + percutaneous coronary intervention vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3.00,3.00,2115,United States,2012,2384.14
29930,Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis,"BACKGROUND: The coverage of prevention and treatment strategies for ischemic heart disease and stroke is very low in Ethiopia. In view of Ethiopia''s meager healthcare budget, it is important to identify the most cost-effective interventions for further scale-up. This paper''s objective is to assess cost-effectiveness of prevention and treatment of ischemic heart disease (IHD) and stroke in an Ethiopian setting. METHODS: Fifteen single interventions and sixteen intervention packages were assessed from a healthcare provider perspective. The World Health Organization''s Choosing Interventions that are Cost-Effective model for cardiovascular disease was updated with available country-specific inputs, including demography, mortality and price of traded and non-traded goods. Costs and health benefits were discounted at 3 % per year. Incremental cost-effectiveness ratios are reported in US$ per disability adjusted life year (DALY) averted. Sensitivity analysis was undertaken to assess robustness of our results. RESULTS: Combination drug treatment for individuals having >35 % absolute risk of a CVD event in the next 10 years is the most cost-effective intervention. This intervention costs US$67 per DALY averted and about US$7 million annually. Treatment of acute myocardial infarction (AMI) (costing US$1000-US$7530 per DALY averted) and secondary prevention of IHD and stroke (costing US$1060-US$10,340 per DALY averted) become more efficient when delivered in integrated packages. At an annual willingness-to-pay (WTP) level of about US$3 million, a package consisting of aspirin, streptokinase, ACE-inhibitor and beta-blocker for AMI has the highest probability of being most cost-effective, whereas as WTP increases to > US$7 million, combination drug treatment to individuals having >35 % absolute risk stands out as the most cost-effective strategy. Cost-effectiveness ratios were relatively more sensitive to halving the effectiveness estimates as compared with doubling the price of drugs and laboratory tests. CONCLUSIONS: In Ethiopia, the escalating burden of CVD and its risk factors warrants timely action. We have demonstrated that selected CVD intervention packages could be scaled up at a modest budget increase. The level of willingness-to-pay has important implications for interventions'' probability of being cost-effective. The study provides valuable evidence for setting priorities in an essential healthcare package for CVD in Ethiopia.",2016-99-22354,27524939,Cost Eff Resour Alloc,Mieraf Taddesse Tolla,2016,14 /,10,Yes,27524939,"Mieraf Taddesse Tolla; Ole Frithjof Norheim; Solomon Tessema Memirie; Senbeta Guteta Abdisa; Awel Ababulgu; Degu Jerene; Melanie Bertram; Kirsten Strand; Stephane Verguet; Kjell Arne Johansson; Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis, Cost Eff Resour Alloc, 2016; 14():1478-7547; 10",DALY,Ethiopia,Not Stated,Pharmaceutical,Aspirin vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3.00,3.00,39892,United States,2012,44968.46
29931,Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis,"BACKGROUND: The coverage of prevention and treatment strategies for ischemic heart disease and stroke is very low in Ethiopia. In view of Ethiopia''s meager healthcare budget, it is important to identify the most cost-effective interventions for further scale-up. This paper''s objective is to assess cost-effectiveness of prevention and treatment of ischemic heart disease (IHD) and stroke in an Ethiopian setting. METHODS: Fifteen single interventions and sixteen intervention packages were assessed from a healthcare provider perspective. The World Health Organization''s Choosing Interventions that are Cost-Effective model for cardiovascular disease was updated with available country-specific inputs, including demography, mortality and price of traded and non-traded goods. Costs and health benefits were discounted at 3 % per year. Incremental cost-effectiveness ratios are reported in US$ per disability adjusted life year (DALY) averted. Sensitivity analysis was undertaken to assess robustness of our results. RESULTS: Combination drug treatment for individuals having >35 % absolute risk of a CVD event in the next 10 years is the most cost-effective intervention. This intervention costs US$67 per DALY averted and about US$7 million annually. Treatment of acute myocardial infarction (AMI) (costing US$1000-US$7530 per DALY averted) and secondary prevention of IHD and stroke (costing US$1060-US$10,340 per DALY averted) become more efficient when delivered in integrated packages. At an annual willingness-to-pay (WTP) level of about US$3 million, a package consisting of aspirin, streptokinase, ACE-inhibitor and beta-blocker for AMI has the highest probability of being most cost-effective, whereas as WTP increases to > US$7 million, combination drug treatment to individuals having >35 % absolute risk stands out as the most cost-effective strategy. Cost-effectiveness ratios were relatively more sensitive to halving the effectiveness estimates as compared with doubling the price of drugs and laboratory tests. CONCLUSIONS: In Ethiopia, the escalating burden of CVD and its risk factors warrants timely action. We have demonstrated that selected CVD intervention packages could be scaled up at a modest budget increase. The level of willingness-to-pay has important implications for interventions'' probability of being cost-effective. The study provides valuable evidence for setting priorities in an essential healthcare package for CVD in Ethiopia.",2016-99-22354,27524939,Cost Eff Resour Alloc,Mieraf Taddesse Tolla,2016,14 /,10,Yes,27524939,"Mieraf Taddesse Tolla; Ole Frithjof Norheim; Solomon Tessema Memirie; Senbeta Guteta Abdisa; Awel Ababulgu; Degu Jerene; Melanie Bertram; Kirsten Strand; Stephane Verguet; Kjell Arne Johansson; Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis, Cost Eff Resour Alloc, 2016; 14():1478-7547; 10",DALY,Ethiopia,Not Stated,Pharmaceutical,Aspirin vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3.00,3.00,10345,United States,2012,11661.45
29932,Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis,"BACKGROUND: The coverage of prevention and treatment strategies for ischemic heart disease and stroke is very low in Ethiopia. In view of Ethiopia''s meager healthcare budget, it is important to identify the most cost-effective interventions for further scale-up. This paper''s objective is to assess cost-effectiveness of prevention and treatment of ischemic heart disease (IHD) and stroke in an Ethiopian setting. METHODS: Fifteen single interventions and sixteen intervention packages were assessed from a healthcare provider perspective. The World Health Organization''s Choosing Interventions that are Cost-Effective model for cardiovascular disease was updated with available country-specific inputs, including demography, mortality and price of traded and non-traded goods. Costs and health benefits were discounted at 3 % per year. Incremental cost-effectiveness ratios are reported in US$ per disability adjusted life year (DALY) averted. Sensitivity analysis was undertaken to assess robustness of our results. RESULTS: Combination drug treatment for individuals having >35 % absolute risk of a CVD event in the next 10 years is the most cost-effective intervention. This intervention costs US$67 per DALY averted and about US$7 million annually. Treatment of acute myocardial infarction (AMI) (costing US$1000-US$7530 per DALY averted) and secondary prevention of IHD and stroke (costing US$1060-US$10,340 per DALY averted) become more efficient when delivered in integrated packages. At an annual willingness-to-pay (WTP) level of about US$3 million, a package consisting of aspirin, streptokinase, ACE-inhibitor and beta-blocker for AMI has the highest probability of being most cost-effective, whereas as WTP increases to > US$7 million, combination drug treatment to individuals having >35 % absolute risk stands out as the most cost-effective strategy. Cost-effectiveness ratios were relatively more sensitive to halving the effectiveness estimates as compared with doubling the price of drugs and laboratory tests. CONCLUSIONS: In Ethiopia, the escalating burden of CVD and its risk factors warrants timely action. We have demonstrated that selected CVD intervention packages could be scaled up at a modest budget increase. The level of willingness-to-pay has important implications for interventions'' probability of being cost-effective. The study provides valuable evidence for setting priorities in an essential healthcare package for CVD in Ethiopia.",2016-99-22354,27524939,Cost Eff Resour Alloc,Mieraf Taddesse Tolla,2016,14 /,10,Yes,27524939,"Mieraf Taddesse Tolla; Ole Frithjof Norheim; Solomon Tessema Memirie; Senbeta Guteta Abdisa; Awel Ababulgu; Degu Jerene; Melanie Bertram; Kirsten Strand; Stephane Verguet; Kjell Arne Johansson; Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis, Cost Eff Resour Alloc, 2016; 14():1478-7547; 10",DALY,Ethiopia,Not Stated,Pharmaceutical,Statin vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3.00,3.00,8822,United States,2012,9944.64
29933,Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis,"BACKGROUND: The coverage of prevention and treatment strategies for ischemic heart disease and stroke is very low in Ethiopia. In view of Ethiopia''s meager healthcare budget, it is important to identify the most cost-effective interventions for further scale-up. This paper''s objective is to assess cost-effectiveness of prevention and treatment of ischemic heart disease (IHD) and stroke in an Ethiopian setting. METHODS: Fifteen single interventions and sixteen intervention packages were assessed from a healthcare provider perspective. The World Health Organization''s Choosing Interventions that are Cost-Effective model for cardiovascular disease was updated with available country-specific inputs, including demography, mortality and price of traded and non-traded goods. Costs and health benefits were discounted at 3 % per year. Incremental cost-effectiveness ratios are reported in US$ per disability adjusted life year (DALY) averted. Sensitivity analysis was undertaken to assess robustness of our results. RESULTS: Combination drug treatment for individuals having >35 % absolute risk of a CVD event in the next 10 years is the most cost-effective intervention. This intervention costs US$67 per DALY averted and about US$7 million annually. Treatment of acute myocardial infarction (AMI) (costing US$1000-US$7530 per DALY averted) and secondary prevention of IHD and stroke (costing US$1060-US$10,340 per DALY averted) become more efficient when delivered in integrated packages. At an annual willingness-to-pay (WTP) level of about US$3 million, a package consisting of aspirin, streptokinase, ACE-inhibitor and beta-blocker for AMI has the highest probability of being most cost-effective, whereas as WTP increases to > US$7 million, combination drug treatment to individuals having >35 % absolute risk stands out as the most cost-effective strategy. Cost-effectiveness ratios were relatively more sensitive to halving the effectiveness estimates as compared with doubling the price of drugs and laboratory tests. CONCLUSIONS: In Ethiopia, the escalating burden of CVD and its risk factors warrants timely action. We have demonstrated that selected CVD intervention packages could be scaled up at a modest budget increase. The level of willingness-to-pay has important implications for interventions'' probability of being cost-effective. The study provides valuable evidence for setting priorities in an essential healthcare package for CVD in Ethiopia.",2016-99-22354,27524939,Cost Eff Resour Alloc,Mieraf Taddesse Tolla,2016,14 /,10,Yes,27524939,"Mieraf Taddesse Tolla; Ole Frithjof Norheim; Solomon Tessema Memirie; Senbeta Guteta Abdisa; Awel Ababulgu; Degu Jerene; Melanie Bertram; Kirsten Strand; Stephane Verguet; Kjell Arne Johansson; Prevention and treatment of cardiovascular disease in Ethiopia: a cost-effectiveness analysis, Cost Eff Resour Alloc, 2016; 14():1478-7547; 10",DALY,Ethiopia,Not Stated,Pharmaceutical,Beta-blocker vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3.00,3.00,5177,United States,2012,5835.8
