index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
13711,"Comparison of cost-effectiveness of anticoagulation with dabigatran, rivaroxaban and apixaban in patients with non-valvular atrial fibrillation across countries","We did a cost-utility analysis for the new oral anticoagulants (NOACs) in the German population based on the quality-adjusted life years (QALY), total costs, and incremental cost-effectiveness ratios (ICER). The aim of our investigation was to examine cost-utility for current German drug market costs and compared to other countries. Outcome data were taken from dabigatran''s RE-LY, rivaroxaban''s ROCKET AF, and apixaban''s ARISTOTLE trials. A Markov decision model, the Monte Carlo simulation (MCS), and further sensitivity analyses were used to simulate comparisons between NOACs over a follow up period of 20 years. The main perspective used for the analyses is from a German public health care insurance perspective. The base-case analyses of a 65 years old person with a CHADS2 score >1 resulted in 7.56-7.64 QALYs gained for warfarin. NOACs added 0.04-0.19 QALYs. Total costs for warfarin ranged from 7622 to 9069<euro> and for NOACs from 19537 to 20048<euro>. The sensitivity analysis indicated that current German market costs for the NOACs exceed a willingness-to-pay threshold of (hypothetical) 50000<euro>/QALY in all treatment regimen. The MCS showed willingness-to-pay thresholds from 60500<euro>/QALY for apixaban to 278000<euro>/QALY for dabigatran 110 mg bid, with values for dabigatran 150 mg bid and rivaroxaban in between. In conclusion, from a German public health care insurance perspective current market costs are high in relation to the quality of life gained. These results from clinical studies (efficacy) remain to be confirmed under real life conditions (effectiveness).",2014-01-17124,24221805,J Thromb Thrombolysis,Martin Krejczy,2014,37 / 4,507-23,No,24221805,"Martin Krejczy; Job Harenberg; Svetlana Marx; Konrad Obermann; Lutz Frolich; Martin Wehling; Comparison of cost-effectiveness of anticoagulation with dabigatran, rivaroxaban and apixaban in patients with non-valvular atrial fibrillation across countries, J Thromb Thrombolysis, ; 37(4):1573-742X; 507-23",QALY,Germany,Not Stated,Not Stated,Rivaroxaban vs. Warfarin,Not Stated,Not Stated,65 Years,"Female, Male",Full,"20 Years, Lifetime",5.00,5.00,133926,Euro,2012,194126.82
13712,"Comparison of cost-effectiveness of anticoagulation with dabigatran, rivaroxaban and apixaban in patients with non-valvular atrial fibrillation across countries","We did a cost-utility analysis for the new oral anticoagulants (NOACs) in the German population based on the quality-adjusted life years (QALY), total costs, and incremental cost-effectiveness ratios (ICER). The aim of our investigation was to examine cost-utility for current German drug market costs and compared to other countries. Outcome data were taken from dabigatran''s RE-LY, rivaroxaban''s ROCKET AF, and apixaban''s ARISTOTLE trials. A Markov decision model, the Monte Carlo simulation (MCS), and further sensitivity analyses were used to simulate comparisons between NOACs over a follow up period of 20 years. The main perspective used for the analyses is from a German public health care insurance perspective. The base-case analyses of a 65 years old person with a CHADS2 score >1 resulted in 7.56-7.64 QALYs gained for warfarin. NOACs added 0.04-0.19 QALYs. Total costs for warfarin ranged from 7622 to 9069<euro> and for NOACs from 19537 to 20048<euro>. The sensitivity analysis indicated that current German market costs for the NOACs exceed a willingness-to-pay threshold of (hypothetical) 50000<euro>/QALY in all treatment regimen. The MCS showed willingness-to-pay thresholds from 60500<euro>/QALY for apixaban to 278000<euro>/QALY for dabigatran 110 mg bid, with values for dabigatran 150 mg bid and rivaroxaban in between. In conclusion, from a German public health care insurance perspective current market costs are high in relation to the quality of life gained. These results from clinical studies (efficacy) remain to be confirmed under real life conditions (effectiveness).",2014-01-17124,24221805,J Thromb Thrombolysis,Martin Krejczy,2014,37 / 4,507-23,No,24221805,"Martin Krejczy; Job Harenberg; Svetlana Marx; Konrad Obermann; Lutz Frolich; Martin Wehling; Comparison of cost-effectiveness of anticoagulation with dabigatran, rivaroxaban and apixaban in patients with non-valvular atrial fibrillation across countries, J Thromb Thrombolysis, ; 37(4):1573-742X; 507-23",QALY,Germany,Not Stated,Not Stated,Apixaban vs. Warfarin,Not Stated,Not Stated,65 Years,"Female, Male",Full,"20 Years, Lifetime",5.00,5.00,57245,Euro,2012,82977.09
13713,Cost effectiveness of adding dapagliflozin to insulin for the treatment of type 2 diabetes mellitus in the Netherlands,"BACKGROUND AND OBJECTIVE: Many patients with type 2 diabetes mellitus (T2DM) on insulin therapy have inadequate glycaemic control. In such cases, Dutch guidelines recommend unlimited up-titration of insulin, yet in practice many patients never reach their glycaemic target. Clinical evidence shows that dapagliflozin-a highly selective sodium-glucose cotransporter 2 inhibitor-meets a need for these patients, i.e. by reducing glycated haemoglobin levels and bodyweight. We estimated the cost effectiveness and cost utility of adding dapagliflozin to insulin compared with not adding dapagliflozin in patients with T2DM who have inadequate glycaemic control while on insulin. METHODS: The cost effectiveness of dapagliflozin was estimated using the Cardiff Diabetes Model, using direct comparative efficacy data from a randomized placebo-controlled trial (ClinicalTrials.gov identifier NCT00673231). In this trial, up-titration of insulin was allowed in case of severe glycaemic imbalance. Risk factor progression and the occurrence of future vascular events were estimated using the United Kingdom Prospective Diabetes Study 68 risk equations. Costs and utilities were derived from the literature. The analysis was conducted from the societal perspective, simulating the remaining lifetime of the patients. RESULTS: The overall incidence of macro- and microvascular complications was lower, and life expectancy was greater (19.43 versus 19.35 life-years [LYs]) in patients receiving dapagliflozin than in those not receiving dapagliflozin. Patients in the dapagliflozin arm obtained an incremental benefit of 0.42 quality-adjusted life-years (QALYs). The lifetime incremental cost per patient in the dapagliflozin arm was euro2,293, resulting in an incremental cost-effectiveness ratio of euro27,779 per LY gained and an incremental cost-utility ratio of euro5,502 per QALY gained. Sensitivity and scenario analyses showed that the results were insensitive to variations in modelling assumptions and input variables. CONCLUSION: Dapagliflozin in combination with insulin was estimated to be a cost-effective treatment option for patients with T2DM whose insulin treatment regimen does not provide adequate glycaemic control in a Dutch healthcare setting.",2014-01-17127,24243529,Clin Drug Investig,Heleen G M van Haalen,2014,34 / 2,135-46,Yes,24243529,"Heleen G M van Haalen; Marjolein Pompen; Klas Bergenheim; Phil McEwan; Rebecca Townsend; Marina Roudaut; Cost effectiveness of adding dapagliflozin to insulin for the treatment of type 2 diabetes mellitus in the Netherlands, Clin Drug Investig, ; 34(2):1173-2563; 135-46",QALY,Netherlands,Not Stated,Not Stated,"Dapagliflozin, a highly selective sodium-glucose cotransporter 2 inhibitor, and insulin vs. Placebo",On insulin therapy,66 Years,50 Years,"Female, Male",Full,40 Years,4.00,1.50,5502,Euro,2011,8809.4
13714,Cost-utility analysis of a multidisciplinary strategy to manage osteoarthritis of the knee: economic evaluation of a cluster randomized controlled trial study,"OBJECTIVE: To determine if a pharmacist-initiated multidisciplinary strategy provides value for money compared to usual care in participants with previously undiagnosed knee osteoarthritis. METHODS: Pharmacies were randomly allocated to provide either 1) usual care and a pamphlet or 2) intervention care, which consisted of education, pain medication management by a pharmacist, physiotherapy-guided exercise, and communication with the primary care physician. Costs and quality-adjusted life-years (QALYs) were determined for patients assigned to each treatment and incremental cost-effectiveness ratios (ICERs) were determined. RESULTS: From the Ministry of Health perspective, the average patient in the intervention group generated slightly higher costs compared with usual care. Similar findings were obtained when using the societal perspective. The intervention resulted in ICERs of $232 (95% confidence interval [95% CI] -1,530, 2,154) per QALY gained from the Ministry of Health perspective and $14,395 (95% CI 7,826, 23,132) per QALY gained from the societal perspective, compared with usual care. CONCLUSION: A pharmacist-initiated, multidisciplinary program was good value for money from both the societal and Ministry of Health perspectives.",2014-01-17128,24249680,Arthritis Care Res (Hoboken),Carlo A Marra,2014,66 / 6,810-6,No,24249680,"Carlo A Marra; Maja Grubisic; Jolanda Cibere; Kelly A Grindrod; John C Woolcott; Louise Gastonguay; John M Esdaile; Cost-utility analysis of a multidisciplinary strategy to manage osteoarthritis of the knee: economic evaluation of a cluster randomized controlled trial study, Arthritis Care Res (Hoboken), ; 66(6):2151-4658; 810-6",QALY,Canada,Not Stated,Not Stated,"Administration of a validated knee osteoarthritis screening questionnaire, education, pain medication management, physiotherapy-guided exercise, and communication with the client’s primary care physician. vs. Standard/Usual Care- Usual care and a pamphlet on knee osteoarthritis (OA)",Not Stated,Not Stated,19 Years,Not Stated,Full,6 Months,Not Stated,Not Stated,232,Canada,2009,246.39
13715,"Long-term clinical and cost-effectiveness of psychological intervention for family carers of people with dementia: a single-blind, randomised, controlled trial","BACKGROUND: Two-thirds of people with dementia live at home supported mainly by family carers. These carers frequently develop clinical depression or anxiety, which predicts care breakdown. We aimed to assess the clinical effectiveness (long-term reduction of depression and anxiety symptoms in family carers) and cost-effectiveness of a psychological intervention called START (STrAtegies for RelaTives). METHODS: We did a randomised, parallel-group trial with masked outcome assessments in three UK mental-health services and one neurological-outpatient dementia service. We included self-identified family carers of people with dementia who had been referred in the previous year and gave support at least once per week to the person with dementia. We randomly assigned these carers, via an online computer-generated randomisation system from an independent clinical trials unit, to either START, an 8-session, manual-based coping intervention delivered by supervised psychology graduates, or treatment as usual (TAU). The primary long-term outcomes were affective symptoms (Hospital Anxiety and Depression Scale total score [HADS-T]) 2 years after randomisation and cost-effectiveness (health and social care perspectives) over 24 months. Analysis was by intention to treat, excluding carers with data missing at both 12 and 24 months. This trial is registered ISCTRN70017938. FINDINGS: From November 4, 2009, to June 8, 2011, we recruited 260 carers. 173 carers were randomly assigned to START and 87 to TAU. Of these 260 participants, 209 (80%) were included in the clinical efficacy analysis (140 START, 69 TAU). At 24 months, compared with TAU the START group was significantly better for HADS-T (mean difference -2.58 points, 95% CI -4.26 to -0.90; p=0.003). The intervention is cost effective for both carers and patients (67% probability of cost-effectiveness at the pound20 000 per QALY willingness-to-pay threshold, and 70% at the pound30 000 threshold). INTERPRETATION: START is clinically effective, improving carer mood and anxiety levels for 2 years. Carers in the control TAU group were seven times more likely to have clinically significant depression than those receiving START. START is cost effective with respect to carer and patient outcomes, and National Institute for Health and Care Excellence (NICE) thresholds. The number of people with dementia is rapidly growing, and policy frameworks assume that their families will remain the frontline providers of (unpaid) support. This cost-neutral intervention, which substantially improves family-carers' mental health and quality of life, should therefore be widely available. FUNDING: National Institute for Health Research Health Technology Assessment programme 08/14/06.",2014-01-17269,26361313,Eur J Intern Med,Gill Livingston,2014,1 / 7,539-48,No,26361313,"Gill Livingston; Julie Barber; Penny Rapaport; Martin Knapp; Mark Griffin; Derek King; Renee Romeo; Debbie Livingston; Cath Mummery; Zuzana Walker; Juanita Hoe; Claudia Cooper; Long-term clinical and cost-effectiveness of psychological intervention for family carers of people with dementia: a single-blind, randomised, controlled trial, Eur J Intern Med, 2014 Dec; 1(7):1879-0828; 539-48",QALY,United Arab Emirates,Not Stated,Not Stated,"START psychological manual-based coping intervention. vs. Standard/Usual Care- Treatment as usual: medical, psychological, and social, and is supposed to consist of assessment, diagnosis and information-giving, risk assessment and managementmedical, psychological, and social, and is supposed to consist of assessment, diagnosis and information-giving, risk assessment and management, drug treatment, cognitive-stimulation therapy, practical support, treatment of neuropsychiatric and cognitive symptoms, assessment of capacity to make long-term decisions an",Not Stated,Not Stated,41 Years,"Female, Male",Full,24 Months,3.50,3.50,-49033.34,United Kingdom,2009,-85648.31
13716,"Long-term clinical and cost-effectiveness of psychological intervention for family carers of people with dementia: a single-blind, randomised, controlled trial","BACKGROUND: Two-thirds of people with dementia live at home supported mainly by family carers. These carers frequently develop clinical depression or anxiety, which predicts care breakdown. We aimed to assess the clinical effectiveness (long-term reduction of depression and anxiety symptoms in family carers) and cost-effectiveness of a psychological intervention called START (STrAtegies for RelaTives). METHODS: We did a randomised, parallel-group trial with masked outcome assessments in three UK mental-health services and one neurological-outpatient dementia service. We included self-identified family carers of people with dementia who had been referred in the previous year and gave support at least once per week to the person with dementia. We randomly assigned these carers, via an online computer-generated randomisation system from an independent clinical trials unit, to either START, an 8-session, manual-based coping intervention delivered by supervised psychology graduates, or treatment as usual (TAU). The primary long-term outcomes were affective symptoms (Hospital Anxiety and Depression Scale total score [HADS-T]) 2 years after randomisation and cost-effectiveness (health and social care perspectives) over 24 months. Analysis was by intention to treat, excluding carers with data missing at both 12 and 24 months. This trial is registered ISCTRN70017938. FINDINGS: From November 4, 2009, to June 8, 2011, we recruited 260 carers. 173 carers were randomly assigned to START and 87 to TAU. Of these 260 participants, 209 (80%) were included in the clinical efficacy analysis (140 START, 69 TAU). At 24 months, compared with TAU the START group was significantly better for HADS-T (mean difference -2.58 points, 95% CI -4.26 to -0.90; p=0.003). The intervention is cost effective for both carers and patients (67% probability of cost-effectiveness at the pound20 000 per QALY willingness-to-pay threshold, and 70% at the pound30 000 threshold). INTERPRETATION: START is clinically effective, improving carer mood and anxiety levels for 2 years. Carers in the control TAU group were seven times more likely to have clinically significant depression than those receiving START. START is cost effective with respect to carer and patient outcomes, and National Institute for Health and Care Excellence (NICE) thresholds. The number of people with dementia is rapidly growing, and policy frameworks assume that their families will remain the frontline providers of (unpaid) support. This cost-neutral intervention, which substantially improves family-carers' mental health and quality of life, should therefore be widely available. FUNDING: National Institute for Health Research Health Technology Assessment programme 08/14/06.",2014-01-17269,26361313,Eur J Intern Med,Gill Livingston,2014,1 / 7,539-48,No,26361313,"Gill Livingston; Julie Barber; Penny Rapaport; Martin Knapp; Mark Griffin; Derek King; Renee Romeo; Debbie Livingston; Cath Mummery; Zuzana Walker; Juanita Hoe; Claudia Cooper; Long-term clinical and cost-effectiveness of psychological intervention for family carers of people with dementia: a single-blind, randomised, controlled trial, Eur J Intern Med, 2014 Dec; 1(7):1879-0828; 539-48",QALY,United Kingdom,Not Stated,Not Stated,"START psychological manual-based coping intervention. vs. Standard/Usual Care- Treatment as usual (TAU): medical, psychological, and social, and is supposed to consist of assessment, diagnosis and information-giving, risk assessment and managementmedical, psychological, and social, and is supposed to consist of assessment, diagnosis and information-giving, risk assessment and management, drug treatment, cognitive-stimulation therapy, practical support, treatment of neuropsychiatric and cognitive symptoms, assessment of capacity to make long-term decisi",Not Stated,Not Stated,41 Years,"Female, Male",Full,24 Months,3.50,3.50,12400,United Kingdom,2009,21659.53
13717,"Surgery is cost-effective treatment for young patients with vestibular schwannomas: decision tree modeling of surgery, radiation, and observation","Object Vestibular schwannomas (VSs) are managed in 3 ways: observation (""wait and scan""); Gamma Knife surgery (GKS); or microsurgery. Whereas there is considerable literature regarding which management approach is superior, there are only a few studies addressing the cost of treating VSs, and there are no cost-utility analyses in the US to date. Methods In this study, the authors used the University of California at San Francisco medical record and hospital accounting databases to determine total hospital charges and costs for 33 patients who underwent open surgery, 42 patients who had GKS, and 12 patients who were observed between 2010 and 2013. The authors then performed decision-tree analysis to determine which treatment paradigm produces the highest quality-adjusted life years and to calculate the incremental cost-effectiveness ratio, depending on the patient's age at VS diagnosis. Results The average total hospital cost over a 3-year period for surgically treated patients was $80,074 (+/- $49,678) versus $9737 (+/- $5522) for patients receiving radiosurgery and $1746 (+/- $2792) for patients who were observed. When modeling the most debilitating symptoms and worst outcomes of VSs (vertigo and death) at different ages at diagnosis, radiation is dominant to observation at all ages up to 70 years. Surgery is cost-effective when compared with radiation (incremental cost-effectiveness ratio < $150,000) at younger ages at diagnosis (< 45 years old). Conclusions In this model, surgery is a cost-effective alternative to radiation when VS is diagnosed in patients at < 45 years. For patients >/= 45 years, radiation is the most cost-effective treatment option.",2014-01-17572,26218621,Neurosurg Focus,Corinna C Zygourakis,2014,37 / 5,E8,No,26218621,"Corinna C Zygourakis; Taemin Oh; Matthew Z Sun; Igor Barani; James G Kahn; Andrew T Parsa; Surgery is cost-effective treatment for young patients with vestibular schwannomas: decision tree modeling of surgery, radiation, and observation, Neurosurg Focus, ; 37(5):1092-0684; E8",QALY,United States of America,Not Stated,Not Stated,Radiosurgery vs. Radiation,Not Stated,Not Stated,40 Years,"Female, Male",Full,"Lifetime, 3 years",3.00,3.00,137747,United States,2010,163492.13
13718,"Surgery is cost-effective treatment for young patients with vestibular schwannomas: decision tree modeling of surgery, radiation, and observation","Object Vestibular schwannomas (VSs) are managed in 3 ways: observation (""wait and scan""); Gamma Knife surgery (GKS); or microsurgery. Whereas there is considerable literature regarding which management approach is superior, there are only a few studies addressing the cost of treating VSs, and there are no cost-utility analyses in the US to date. Methods In this study, the authors used the University of California at San Francisco medical record and hospital accounting databases to determine total hospital charges and costs for 33 patients who underwent open surgery, 42 patients who had GKS, and 12 patients who were observed between 2010 and 2013. The authors then performed decision-tree analysis to determine which treatment paradigm produces the highest quality-adjusted life years and to calculate the incremental cost-effectiveness ratio, depending on the patient's age at VS diagnosis. Results The average total hospital cost over a 3-year period for surgically treated patients was $80,074 (+/- $49,678) versus $9737 (+/- $5522) for patients receiving radiosurgery and $1746 (+/- $2792) for patients who were observed. When modeling the most debilitating symptoms and worst outcomes of VSs (vertigo and death) at different ages at diagnosis, radiation is dominant to observation at all ages up to 70 years. Surgery is cost-effective when compared with radiation (incremental cost-effectiveness ratio < $150,000) at younger ages at diagnosis (< 45 years old). Conclusions In this model, surgery is a cost-effective alternative to radiation when VS is diagnosed in patients at < 45 years. For patients >/= 45 years, radiation is the most cost-effective treatment option.",2014-01-17572,26218621,Neurosurg Focus,Corinna C Zygourakis,2014,37 / 5,E8,No,26218621,"Corinna C Zygourakis; Taemin Oh; Matthew Z Sun; Igor Barani; James G Kahn; Andrew T Parsa; Surgery is cost-effective treatment for young patients with vestibular schwannomas: decision tree modeling of surgery, radiation, and observation, Neurosurg Focus, ; 37(5):1092-0684; E8",QALY,United States of America,Not Stated,Not Stated,Observation vs. Radiation,Not Stated,Not Stated,40 Years,"Female, Male",Full,"Lifetime, 3 years",3.00,3.00,-13147.52,United States,2010,-15604.81
13719,Early health economic evaluation of the future potential of next generation artificial vision systems for treating blindness in Germany,"The next generation of artificial vision devices (AVDs), which is currently developed in pre-clinical settings, has the potential to improve the vision of blind patients with retinitis pigmentosa (RP) in a manner that they will be categorized as visual impaired but no more as blind. This unprecedented vision improvement will result in a mentionable quality of life gain which poses the question at which costs the next generation AVDs are to be regarded as cost-effective, from a German healthcare payer perspective. In order to answer this research question a Markov model was developed to simulate and to compare the costs and effects of next generation AVDs versus best supportive care (BSC). Applying the base case settings resulted in incremental costs of <euro>107,925, in 2.03 incremental quality-adjusted life years (QALYs) and in a cost-effectiveness ratio of <euro>53,165 per QALY gained. Probabilistic and deterministic sensitivity analyses as well as scenario analyses for the effect size and the AVD costs were performed in order to investigate the robustness of results. In these scenario analyses a strong variation of the cost-effectiveness results was obtained ranging from <euro>23,512 (best case) to <euro>176,958 (worst case) per QALY gained by AVD therapy. This early health economic evaluation has to handle with three main uncertainty factors: the effect size of next generation AVDs, the costs of next generation AVDs and the WTP threshold that might be applied in RP patients, which reflect the main limitations of the presented assessment. In conclusion the presented early cost-effectiveness evaluation has obtained that next generation AVDs have the potential to be a cost-effective therapy option in patients with RP in Germany. The innovative nature, the high unmet medical need and the expected unprecedented efficacy of next generation AVDs will highly likely lead to the case that even relatively high incremental cost-effectiveness ratios, that have been obtained when simulating various effect and pricing scenarios, will be regarded as acceptable from a German healthcare payer perspective.",2014-01-17591,26208927,Health Econ Rev,Bjoern Schwander,2014,4 / 1,27,No,26208927,"Bjoern Schwander; Early health economic evaluation of the future potential of next generation artificial vision systems for treating blindness in Germany, Health Econ Rev, 2014 Dec; 4(1):2191-1991; 27",QALY,Germany,Not Stated,Not Stated,Artificial vision device vs. Standard/Usual Care- Best supportive care (BSC),Not Stated,Not Stated,50 Years,Not Stated,Full,2 Years,3.00,3.00,53165,Euro,2014,77283.78
13720,Long-term cost effectiveness of ticagrelor in patients with acute coronary syndromes in Thailand,"OBJECTIVES: To evaluate the long-term cost-effectiveness of ticagrelor and ASA versus generic and branded clopidogrel and ASA in patients with ACS based on a Thai cost database. METHODS: A one-year decision tree and a long-term Markov model were constructed to estimate lifetime costs and quality-adjusted life years (QALYs). For the first year, data from PLATO (NCT00391872) were used to estimate the rate of cardiovascular events, resource use, and QALYs. For year 2 onwards, clinical effectiveness was estimated conditional on individual health states that occurred during the first year. RESULTS: In the base-case analysis, the incremental cost-effectiveness ratio (ICER) with ticagrelor was 292,504 ($9,476) and 60,055 ($1,946) THB($)/QALY compared with generic and branded clopidogrel, respectively. The probability of ticagrelor being cost-effective was above 99% at a threshold of 160,000 THB/QALY compared with branded clopidogrel. CONCLUSIONS: This health economic analysis provides cost effectiveness data for ticagrelor compared with both generic and branded clopidogrel in Thailand. Based on this analysis, it appears that ticagrelor is an economically valuable treatment for ACS compared with branded clopidogrel within the Thai context.",2014-01-17592,26208920,Health Econ Rev,Sukit Yamwong,2014,4 / 1,17,No,26208920,"Sukit Yamwong; Unchalee Permsuwan; Sirana Tinmanee; Piyamitr Sritara; Long-term cost effectiveness of ticagrelor in patients with acute coronary syndromes in Thailand, Health Econ Rev, 2014 Dec; 4(1):2191-1991; 17",QALY,Thailand,Not Stated,Not Stated,Ticagrelor twice daily plus aspirin for 12 months vs. Generic clopidogrel 75 mg once daily plus ASA 75-100 mg for 12 months,Not Stated,97 Years,19 Years,"Female, Male",Full,Lifetime,3.00,3.00,292504,Thailand,2013,10598.53
13721,Cost-effectiveness of colorectal cancer screening in Germany: current endoscopic and fecal testing strategies versus plasma methylated Septin 9 DNA,"BACKGROUND AND STUDY AIMS: Colorectal cancer (CRC) screening strategies in Germany include guaiac-based fecal occult blood testing (gFOBT) starting at age 50 and a switch to colonoscopy at age 55 or continued gFOBT testing, but screening utilization is limited. Blood-based biomarkers, such as methylated Septin 9 DNA ( (m) SEPT9), may improve screening rates. We performed a cost-effectiveness analysis of current and emerging CRC screening strategies in Germany. METHODS: Using a validated Markov model, we compared annual gFOBT for ages 50 through 54 followed by biennial testing until age 75 (FOBT) or by colonoscopy at ages 55 and 65 (FOBT/COLO 55,65), substitution of fecal immunochemical testing (FIT) for gFOBT (FIT, FIT/COLO 55,65), and annual or biennial plasma (m) SEPT9 testing. We also considered persons who utilize only colonoscopy and varied age at colonoscopy utilization. RESULTS: The current strategies were more effective and less costly than no screening. FIT was more effective and less costly than (m) SEPT9 testing. FIT/COLO 55,65 cost euro12 200 per quality-adjusted life-years gained in comparison with FIT. (m) SEPT9-based screening was cost-effective in comparison with no screening but was dominated by other cost-saving strategies. Differential screening utilization and adherence greatly affected incremental results between strategies. In probabilistic analyses, FIT was preferred in 49 % and FIT/COLO 55,65 in 47 % of iterations. CONCLUSION: Currently available CRC screening strategies in Germany, including hybrid fecal testing/colonoscopy, are likely to be cost-saving. Current strategies appear superior to (m) SEPT9-based screening. The impact of blood-based biomarkers is likely to depend on utilization and adherence as much as on test performance characteristics and cost.",2014-01-17748,26135268,J Nutr,Uri Ladabaum,2014,2 / 2,E96-E104,No,26135268,"Uri Ladabaum; Lourdes Alvarez-Osorio; Thomas Rosch; Bernd Brueggenjuergen; Cost-effectiveness of colorectal cancer screening in Germany: current endoscopic and fecal testing strategies versus plasma methylated Septin 9 DNA, J Nutr, 2014 Jun; 2(2):1541-6100; E96-E104",QALY,Germany,Not Stated,Not Stated,mSEPT9 2well q2 screening program vs. None,Not Stated,75 Years,50 Years,Not Stated,Full,2 Years,3.00,3.00,600,Euro,2011,960.68
13722,Cost-effectiveness of colorectal cancer screening in Germany: current endoscopic and fecal testing strategies versus plasma methylated Septin 9 DNA,"BACKGROUND AND STUDY AIMS: Colorectal cancer (CRC) screening strategies in Germany include guaiac-based fecal occult blood testing (gFOBT) starting at age 50 and a switch to colonoscopy at age 55 or continued gFOBT testing, but screening utilization is limited. Blood-based biomarkers, such as methylated Septin 9 DNA ( (m) SEPT9), may improve screening rates. We performed a cost-effectiveness analysis of current and emerging CRC screening strategies in Germany. METHODS: Using a validated Markov model, we compared annual gFOBT for ages 50 through 54 followed by biennial testing until age 75 (FOBT) or by colonoscopy at ages 55 and 65 (FOBT/COLO 55,65), substitution of fecal immunochemical testing (FIT) for gFOBT (FIT, FIT/COLO 55,65), and annual or biennial plasma (m) SEPT9 testing. We also considered persons who utilize only colonoscopy and varied age at colonoscopy utilization. RESULTS: The current strategies were more effective and less costly than no screening. FIT was more effective and less costly than (m) SEPT9 testing. FIT/COLO 55,65 cost euro12 200 per quality-adjusted life-years gained in comparison with FIT. (m) SEPT9-based screening was cost-effective in comparison with no screening but was dominated by other cost-saving strategies. Differential screening utilization and adherence greatly affected incremental results between strategies. In probabilistic analyses, FIT was preferred in 49 % and FIT/COLO 55,65 in 47 % of iterations. CONCLUSION: Currently available CRC screening strategies in Germany, including hybrid fecal testing/colonoscopy, are likely to be cost-saving. Current strategies appear superior to (m) SEPT9-based screening. The impact of blood-based biomarkers is likely to depend on utilization and adherence as much as on test performance characteristics and cost.",2014-01-17748,26135268,J Nutr,Uri Ladabaum,2014,2 / 2,E96-E104,No,26135268,"Uri Ladabaum; Lourdes Alvarez-Osorio; Thomas Rosch; Bernd Brueggenjuergen; Cost-effectiveness of colorectal cancer screening in Germany: current endoscopic and fecal testing strategies versus plasma methylated Septin 9 DNA, J Nutr, 2014 Jun; 2(2):1541-6100; E96-E104",QALY,Germany,Not Stated,Not Stated,mSEPT9 2well q1 screening program vs. None,Not Stated,Not Stated,41 Years,Not Stated,Full,2 Years,3.00,3.00,3600,Euro,2011,5764.05
13723,Cost-effectiveness of colorectal cancer screening in Germany: current endoscopic and fecal testing strategies versus plasma methylated Septin 9 DNA,"BACKGROUND AND STUDY AIMS: Colorectal cancer (CRC) screening strategies in Germany include guaiac-based fecal occult blood testing (gFOBT) starting at age 50 and a switch to colonoscopy at age 55 or continued gFOBT testing, but screening utilization is limited. Blood-based biomarkers, such as methylated Septin 9 DNA ( (m) SEPT9), may improve screening rates. We performed a cost-effectiveness analysis of current and emerging CRC screening strategies in Germany. METHODS: Using a validated Markov model, we compared annual gFOBT for ages 50 through 54 followed by biennial testing until age 75 (FOBT) or by colonoscopy at ages 55 and 65 (FOBT/COLO 55,65), substitution of fecal immunochemical testing (FIT) for gFOBT (FIT, FIT/COLO 55,65), and annual or biennial plasma (m) SEPT9 testing. We also considered persons who utilize only colonoscopy and varied age at colonoscopy utilization. RESULTS: The current strategies were more effective and less costly than no screening. FIT was more effective and less costly than (m) SEPT9 testing. FIT/COLO 55,65 cost euro12 200 per quality-adjusted life-years gained in comparison with FIT. (m) SEPT9-based screening was cost-effective in comparison with no screening but was dominated by other cost-saving strategies. Differential screening utilization and adherence greatly affected incremental results between strategies. In probabilistic analyses, FIT was preferred in 49 % and FIT/COLO 55,65 in 47 % of iterations. CONCLUSION: Currently available CRC screening strategies in Germany, including hybrid fecal testing/colonoscopy, are likely to be cost-saving. Current strategies appear superior to (m) SEPT9-based screening. The impact of blood-based biomarkers is likely to depend on utilization and adherence as much as on test performance characteristics and cost.",2014-01-17748,26135268,J Nutr,Uri Ladabaum,2014,2 / 2,E96-E104,No,26135268,"Uri Ladabaum; Lourdes Alvarez-Osorio; Thomas Rosch; Bernd Brueggenjuergen; Cost-effectiveness of colorectal cancer screening in Germany: current endoscopic and fecal testing strategies versus plasma methylated Septin 9 DNA, J Nutr, 2014 Jun; 2(2):1541-6100; E96-E104",QALY,Germany,Not Stated,Not Stated,Colonoscopy and fecal occult blood testing vs. None,Not Stated,Not Stated,41 Years,Not Stated,Full,2 Years,3.00,3.00,-13517.09,Euro,2011,-21642.56
