index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
13520,Cost-effectiveness of infliximab versus conventional combination treatment in methotrexate-refractory early rheumatoid arthritis: 2-year results of the register-enriched randomised controlled SWEFOT trial,"OBJECTIVE: To estimate the incremental cost-effectiveness of infliximab versus conventional combination treatment over 21 months in patients with methotrexate-refractory early rheumatoid arthritis. METHODS: In this multicentre, two-arm, parallel, randomised, active-controlled, open-label trial, rheumatoid arthritis patients with <1 year symptom duration were recruited from 15 rheumatology clinics in Sweden between October 2002 and December 2005. After 3-4 months of methotrexate monotherapy, patients not achieving low disease activity were randomised to addition of infliximab or sulfasalazine+hydroxychloroquine (conventional treatment group). Costs of drugs, healthcare use, and productivity losses were retrieved from nationwide registers, while EuroQol 5-Dimensions utility was collected quarterly. RESULTS: Of 487 patients initially enrolled, 128 and 130 were randomised to infliximab and conventional treatment, respectively. The infliximab group accumulated higher drug and healthcare costs (euro27,487 vs euro10,364; adjusted mean difference euro16,956 (95% CI 14,647 to 19,162)), while productivity losses did not differ (euro33,804 vs euro29,220; euro3961 (95% CI -3986 to 11,850)), resulting in higher societal cost compared to the conventional group (euro61,291 vs euro39,584; euro20,916 (95% CI 12,800 to 28,660)). Mean accumulated quality-adjusted life-years (QALYs) did not differ (1.10 vs 1.12; adjusted mean difference favouring infliximab treatment 0.01 (95% CI -0.07 to 0.08)). The incremental cost-effectiveness ratios for the infliximab versus conventional treatment strategy were euro2,404,197/QALY from the societal perspective and euro1,948,919/QALY from the healthcare perspective. CONCLUSIONS: In early, methotrexate-refractory rheumatoid arthritis, a treatment strategy commencing with addition of infliximab, as compared to sulfasalazine+hydroxychloroquine, was not cost-effective over 21 months at willingness to pay levels generally considered acceptable. TRIAL REGISTRATION NUMBER: NCT00764725.",2014-01-16733,24737786,Ann Rheum Dis,Jonas K Eriksson,2015,74 / 6,,No,24737786,"Jonas K Eriksson; Johan A Karlsson; Johan Bratt; Ingemar F Petersson; Ronald F van Vollenhoven; Sofia Ernestam; Pierre Geborek; Martin Neovius; Cost-effectiveness of infliximab versus conventional combination treatment in methotrexate-refractory early rheumatoid arthritis: 2-year results of the register-enriched randomised controlled SWEFOT trial, Ann Rheum Dis, 2015 Jun; 74(6):0003-4967",QALY,Sweden,Not Stated,Not Stated,"Infliximab (intravenously at weeks 0, 2, 6, and every 8 weeks there after) vs. Standard/Usual Care- Sulfasalazine (1000 mg twice daily) + hydroxychloroquine (400 mg daily)",methotrexate-refractory,Not Stated,19 Years,"Female, Male",Full,21 Months,3.00,3.00,2404197,Euro,2011,3849422.24
13521,Lifetime cost effectiveness of a through-school nutrition and physical programme: Project Energize,"Project Energize, a multicomponent through-school physical activity and nutrition programme, is delivered to all primary school children in the Waikato region. The programme aim is to improve the overall health and reduce the rate of weight gain of all Waikato primary school children. An existing economic model was used to extrapolate the programme effects, initial costs, lifetime health treatment cost structures, quality-adjusted-life-years gained and increased life expectancy to the general and Maori child population of New Zealand. In March 2011, a sample of 2474 younger (7.58 +/- 0.57 years, mean +/- SD) and 2330 older (10.30 +/- 0.51 years) children (36% Maori) attending Energize schools had body mass index measured and compared using mixed effect modelling with unEnergized comparison children from 2004 and 2006 from the same region. In 2011 the median body mass index reduction compared with the comparison younger children was -0.504 (90% CI -0.435 to -0.663) kg/m(2) and in the older children -0.551 (-0.456 to -0.789) kg/m(2). In 2010 there were 42,067 children attending Energize schools and in the same year NZ$1,891,175 was spent to deliver the programme; a cost of $44.96/child/year. Compared to the comparison children the increment in cost/quality-adjusted-life-year gained was $30,438 for the younger and $24,690 for the older children, and lower for Maori (younger $28,241, older $22,151) and for the middle socioeconomic status schools ($23,211, $17,891). Project Energize would improve quality and length of life and when compared with other obesity prevention programmes previously assessed with this model, it would be relatively cost-effective from the health treatment payer's perspective.",2014-01-16740,24743006,Obes Res Clin Pract,Elaine Rush,2014,8 / 2,e115-22,No,24743006,"Elaine Rush; Victor Obolonkin; Stephanie McLennan; David Graham; James D Harris; Paul Mernagh; Adele R Weston; Lifetime cost effectiveness of a through-school nutrition and physical programme: Project Energize, Obes Res Clin Pract, ; 8(2):1871-403X; e115-22",QALY,New Zealand,Not Stated,Not Stated,School-based nutrition and physical programme among younger children vs. None,Not Stated,18 Years,Not Stated,"Female, Male",Full,Lifetime,3.50,3.50,30438,New Zealand,2010,26070.32
13522,Lifetime cost effectiveness of a through-school nutrition and physical programme: Project Energize,"Project Energize, a multicomponent through-school physical activity and nutrition programme, is delivered to all primary school children in the Waikato region. The programme aim is to improve the overall health and reduce the rate of weight gain of all Waikato primary school children. An existing economic model was used to extrapolate the programme effects, initial costs, lifetime health treatment cost structures, quality-adjusted-life-years gained and increased life expectancy to the general and Maori child population of New Zealand. In March 2011, a sample of 2474 younger (7.58 +/- 0.57 years, mean +/- SD) and 2330 older (10.30 +/- 0.51 years) children (36% Maori) attending Energize schools had body mass index measured and compared using mixed effect modelling with unEnergized comparison children from 2004 and 2006 from the same region. In 2011 the median body mass index reduction compared with the comparison younger children was -0.504 (90% CI -0.435 to -0.663) kg/m(2) and in the older children -0.551 (-0.456 to -0.789) kg/m(2). In 2010 there were 42,067 children attending Energize schools and in the same year NZ$1,891,175 was spent to deliver the programme; a cost of $44.96/child/year. Compared to the comparison children the increment in cost/quality-adjusted-life-year gained was $30,438 for the younger and $24,690 for the older children, and lower for Maori (younger $28,241, older $22,151) and for the middle socioeconomic status schools ($23,211, $17,891). Project Energize would improve quality and length of life and when compared with other obesity prevention programmes previously assessed with this model, it would be relatively cost-effective from the health treatment payer's perspective.",2014-01-16740,24743006,Obes Res Clin Pract,Elaine Rush,2014,8 / 2,e115-22,No,24743006,"Elaine Rush; Victor Obolonkin; Stephanie McLennan; David Graham; James D Harris; Paul Mernagh; Adele R Weston; Lifetime cost effectiveness of a through-school nutrition and physical programme: Project Energize, Obes Res Clin Pract, ; 8(2):1871-403X; e115-22",QALY,New Zealand,Not Stated,Not Stated,School-based nutrition and physical programme among older children vs. None,Not Stated,18 Years,Not Stated,"Female, Male",Full,Lifetime,3.50,3.50,24690,New Zealand,2010,21147.12
13523,Feasibility and cost-effectiveness of stroke prevention through community screening for atrial fibrillation using iPhone ECG in pharmacies. The SEARCH-AF study,"Atrial fibrillation (AF) causes a third of all strokes, but often goes undetected before stroke. Identification of unknown AF in the community and subsequent anti-thrombotic treatment could reduce stroke burden. We investigated community screening for unknown AF using an iPhone electrocardiogram (iECG) in pharmacies, and determined the cost-effectiveness of this strategy.Pharmacists performedpulse palpation and iECG recordings, with cardiologist iECG over-reading. General practitioner review/12-lead ECG was facilitated for suspected new AF. An automated AF algorithm was retrospectively applied to collected iECGs. Cost-effectiveness analysis incorporated costs of iECG screening, and treatment/outcome data from a United Kingdom cohort of 5,555 patients with incidentally detected asymptomatic AF. A total of 1,000 pharmacy customers aged >/=65 years (mean 76 +/- 7 years; 44% male) were screened. Newly identified AF was found in 1.5% (95% CI, 0.8-2.5%); mean age 79 +/- 6 years; all had CHA2DS2-VASc score >/=2. AF prevalence was 6.7% (67/1,000). The automated iECG algorithm showed 98.5% (CI, 92-100%) sensitivity for AF detection and 91.4% (CI, 89-93%) specificity. The incremental cost-effectiveness ratio of extending iECG screening into the community, based on 55% warfarin prescription adherence, would be $AUD5,988 (euro3,142; $USD4,066) per Quality Adjusted Life Year gained and $AUD30,481 (euro15,993; $USD20,695) for preventing one stroke. Sensitivity analysis indicated cost-effectiveness improved with increased treatment adherence.Screening with iECG in pharmacies with an automated algorithm is both feasible and cost-effective. The high and largely preventable stroke/thromboembolism risk of those with newly identified AF highlights the likely benefits of community AF screening. Guideline recommendation of community iECG AF screening should be considered.",2014-01-16749,24687081,Thromb Haemost,Nicole Lowres,2014,111 / 6,1167-76,No,24687081,"Nicole Lowres; Lis Neubeck; Glenn Salkeld; Ines Krass; Andrew J McLachlan; Julie Redfern; Alexandra A Bennett; Tom Briffa; Adrian Bauman; Carlos Martinez; Christopher Wallenhorst; Jerrett K Lau; David B Brieger; Raymond W Sy; S Ben Freedman; Feasibility and cost-effectiveness of stroke prevention through community screening for atrial fibrillation using iPhone ECG in pharmacies. The SEARCH-AF study, Thromb Haemost, ; 111(6):0340-6245; 1167-76",QALY,New Zealand,Not Stated,Not Stated,Community atrial fibrillation screening using iPhone ECG in pharmacies for stroke prevention vs. None,Not Stated,Not Stated,66 Years,"Female, Male",Full,10 Years,5.00,Not Stated,5988,Australia,2011,7118.73
13524,Surgical treatment for adult spinal deformity: projected cost effectiveness at 5-year follow-up,"BACKGROUND: In the United States, expenditures related to spine care are estimated to account for $86 billion annually. Policy makers have set a cost-effectiveness benchmark of less than $100,000/quality adjusted life year (QALY), forcing surgeons to defend their choices economically. This study projects the cost/QALY for surgical treatment of adult spinal deformity at 5-year follow-up based on 2-year cost- and health-related quality-of-life (HRQOL) data. METHODS: In a review of 541 patients with adult spinal deformity, the patients who underwent revision or were likely to undergo revision were identified and cost of surgery was doubled to account for the second procedure; all other patients maintained the cost of the initial surgery. Oswestry Disability Index (ODI) was modeled by revision status based on literature findings. Total surgical cost was based on Medicare reimbursement. Chi square and student t tests were utilized to compare cost-effective and non-cost-effective patients. RESULTS: The average cost/QALY at 5-year follow-up was $120,311.73. A total of 40.7% of patients fell under the threshold of a cost/QALY <$100,000. Cost-effective patients had higher baseline ODI scores (45% vs 34% [P=0.001]), lower baseline total Scoliosis Research Society scores (2.89 vs 3.00 [P=0.04]), and shorter fusions (8.23 vs 9.87 [P=0.0001]). CONCLUSION: We found 40.7% of patients to be below the threshold of cost effectiveness. Factors associated with reaching the threshold <$100,000/QALY were greater preoperative disability, diagnosis of idiopathic scoliosis, poor preoperative HRQOL scores, and fewer fusion levels.",2014-01-16752,24688328,Ochsner J,Jamie Terran,2014,14 / 1,14-22,No,24688328,"Jamie Terran; Brian J McHugh; Charla R Fischer; Baron Lonner; Daniel Warren; Steven Glassman; Keith Bridwell; Frank Schwab; Virginie Lafage; Surgical treatment for adult spinal deformity: projected cost effectiveness at 5-year follow-up, Ochsner J, ; 14(1):1524-5012; 14-22",QALY,United States of America,Not Stated,Not Stated,Surgical treatment vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,5 Years,Not Stated,Not Stated,120311,United States,2012,135621.18
13525,Cost effectiveness of a 92-gene assay for the diagnosis of metastatic cancer,"OBJECTIVES: To estimate the clinical and economic trade-offs involved in using a molecular assay (92-gene assay, CancerTYPE ID) to aid in identifying the primary site of difficult-to-diagnose metastatic cancers and to explore whether the 92-gene assay can be used to standardize the diagnostic process and costs for clinicians, patients, and payers. METHODS: Four decision-analytic models were developed to project the lifetime clinical and economic impact of incorporating the 92-gene assay compared with standard care alone. For each model, total and incremental costs, life-years, quality-adjusted life-years (QALYs), incremental cost-effectiveness ratios (ICERs), and the proportion of patients treated correctly versus incorrectly were projected from the payer perspective. Model inputs were based on published literature, analyses of SEER (Surveillance Epidemiology and End RESULTS) data, publicly available data, and interviews with clinical experts. RESULTS: In all four models, the 92-gene assay increased the proportion of patients treated correctly, decreased the proportion of patients treated with empiric therapy, and increased quality-adjusted survival. In the primary model, the ICER was $50,273/QALY; thus, the 92-gene assay is therefore cost effective when considering a societal willingness-to-pay threshold of $100,000/QALY. These findings were robust across sensitivity analyses. CONCLUSIONS: Use of the 92-gene assay for diagnosing metastatic tumors of uncertain origin is associated with reduced misdiagnoses, increased survival, and improved quality of life. Incorporating the assay into current practice is a cost-effective approach to standardizing diagnostic methods while improving patient care. Limitations of this analysis are the lack of data availability and resulting modeling simplifications, although sensitivity analyses showed these to not be key drivers of results.",2014-01-16754,24689556,J Med Econ,Tanya G K Bentley,2014,17 / 8,527-37,Yes,24689556,"Tanya G K Bentley; Brock E Schroeder; Catherine A Schnabel; Mark G Erlander; Wendy C Hsiao; Jesse D Ortendahl; Michael S Broder; Cost effectiveness of a 92-gene assay for the diagnosis of metastatic cancer, J Med Econ, ; 17(8):1369-6998; 527-37",QALY,United States of America,Not Stated,Not Stated,92-gene assay to identify the primary tumor site vs. Standard/Usual Care,Not Stated,Not Stated,Not Stated,"Female, Male",Full,1 Year,Not Stated,Not Stated,50273,United States,2012,56670.49
13526,Modeling the benefits and costs of integrating an acceptable HLA mismatch allocation model for highly sensitized patients,"BACKGROUND: The Eurotransplant acceptable mismatch program has improved transplantation access for highly sensitized recipients. However, the benefits and costs of implementing such a program remain unknown. METHODS: Using decision analytical modeling, we compared the average waiting time for transplantation, overall survival gains (in life-years and quality-adjusted life-years gained), and costs of integrating an acceptable mismatch allocation model compared with the current deceased-donor kidney allocation model in Australia. RESULTS: Acceptable mismatches were identified in 12 of 28 (43%) highly sensitized recipients using HLAMatchmaker. Inclusion of acceptable mismatches in the current allocation model improved the transplantation access for four (14%) highly sensitized recipients, with an average reduction in waiting time of 34 months (from 86 to 52 months). Compared with the current allocation model, incorporating an acceptable mismatch allocation model achieved an overall lifetime gain of 0.034 quality-adjusted life-years and savings of over $4,000 per highly sensitized patient, with a small consequential loss of 0.005 quality-adjusted life-years and extra costs of $800 for every reallocated patient. CONCLUSIONS: Despite modest overall health gains, application of an acceptable mismatch allocation model is an equitable approach to improve transplantation access for highly sensitized transplant candidates without compromising the overall health benefits among the other patients on the deceased-donor waitlist in Australia.",2014-01-16759,24690676,Transplantation,Hung Do Nguyen,2014,97 / 7,769-74,No,24690676,"Hung Do Nguyen; Germaine Wong; Kirsten Howard; Frans H J Claas; Jonathan C Craig; Samantha Fidler; Lloyd D'Orsogna; Jeremey R Chapman; Ashley Irish; Paolo Ferrari; Frank T Christiansen; Wai H Lim; Modeling the benefits and costs of integrating an acceptable HLA mismatch allocation model for highly sensitized patients, Transplantation, ; 97(7):0041-1337; 769-74",QALY,Australia,Not Stated,Not Stated,Eurotransplant acceptable HLA mismatch allocation program for transplant vs. Standard/Usual Care- current allocation model,highly sensitized recipients,Not Stated,Not Stated,"Female, Male",Full,Lifetime,5.00,5.00,-128088.23,Australia,2011,-152275.37
13527,Cost-effectiveness analysis of hip fracture prevention with vitamin D supplementation: a Markov micro-simulation model applied to the French population over 65 years old without previous hip fracture,"We performed a cost-effectiveness analysis of four vitamin D supplementation strategies for primary prevention of hip fracture among the elderly population and found that the most cost-effective strategy was screening for vitamin D insufficiency followed by adequate treatment to attain a minimum 25(OH) serum level. INTRODUCTION: Vitamin D supplementation has a demonstrated ability to reduce the incidence of hip fractures. The efficiency of lifetime supplementation has not yet been assessed in the population over 65 years without previous hip fracture. The objective was to analyze the efficiency of various vitamin D supplementation strategies for that population. METHODS: A Markov micro-simulation model was built with data extracted from published studies and from the French reimbursement schedule. Four vitamin D supplementation strategies were evaluated on our study population: (1) no treatment, (2) supplementation without any serum level check; (3) supplementation with a serum level check 3 months after initiation and subsequent treatment adaptation; (4) population screening for vitamin D insufficiency followed by treatment based on the vitamin D serum level. RESULTS: ""Treat, then check"" and ""screen and treat"" were two cost-effective strategies and dominated ""treat without check"" with incremental cost-effectiveness ratios of euro5,219/quality-adjusted life-years (QALY) and euro9,104/QALY, respectively. The acceptability curves showed that over euro6,000/QALY, the ""screen and treat"" strategy had the greatest probability of being cost-effective, and the ""no treatment"" strategy would never be cost-effective if society were willing to spend over euro8,000/QALY. The sensitivity analysis showed that among all parameters varying within realistic ranges, the cost of vitamin D treatment had the greatest effect and yet remained below the WHO cost-effectiveness thresholds. CONCLUSIONS: Population screening for vitamin D insufficiency followed by treatment based on the vitamin D serum level is the most cost-effective strategy for preventing hip fracture occurrence in the population over 65 years old.",2014-01-16761,24691648,Osteoporos Int,K Zarca,2014,25 / 6,1797-806,No,24691648,"K Zarca; I Durand-Zaleski; C Roux; J-C Souberbielle; A-M Schott; T Thomas; P Fardellone; C-L Benhamou; Cost-effectiveness analysis of hip fracture prevention with vitamin D supplementation: a Markov micro-simulation model applied to the French population over 65 years old without previous hip fracture, Osteoporos Int, ; 25(6):0937-941X; 1797-806",QALY,French Republic,Not Stated,Not Stated,Immediate vitamin D supplementation followed by 25(OH) vitamin D serum level check 3 months later and subsequent treatment adaptation vs. Standard/Usual Care- No treatment,no previous hip fracture,Not Stated,65 Years,"Female, Male",Full,Lifetime,3.00,Not Stated,5219,Euro,2012,7564.98
13528,Cost-effectiveness analysis of hip fracture prevention with vitamin D supplementation: a Markov micro-simulation model applied to the French population over 65 years old without previous hip fracture,"We performed a cost-effectiveness analysis of four vitamin D supplementation strategies for primary prevention of hip fracture among the elderly population and found that the most cost-effective strategy was screening for vitamin D insufficiency followed by adequate treatment to attain a minimum 25(OH) serum level. INTRODUCTION: Vitamin D supplementation has a demonstrated ability to reduce the incidence of hip fractures. The efficiency of lifetime supplementation has not yet been assessed in the population over 65 years without previous hip fracture. The objective was to analyze the efficiency of various vitamin D supplementation strategies for that population. METHODS: A Markov micro-simulation model was built with data extracted from published studies and from the French reimbursement schedule. Four vitamin D supplementation strategies were evaluated on our study population: (1) no treatment, (2) supplementation without any serum level check; (3) supplementation with a serum level check 3 months after initiation and subsequent treatment adaptation; (4) population screening for vitamin D insufficiency followed by treatment based on the vitamin D serum level. RESULTS: ""Treat, then check"" and ""screen and treat"" were two cost-effective strategies and dominated ""treat without check"" with incremental cost-effectiveness ratios of euro5,219/quality-adjusted life-years (QALY) and euro9,104/QALY, respectively. The acceptability curves showed that over euro6,000/QALY, the ""screen and treat"" strategy had the greatest probability of being cost-effective, and the ""no treatment"" strategy would never be cost-effective if society were willing to spend over euro8,000/QALY. The sensitivity analysis showed that among all parameters varying within realistic ranges, the cost of vitamin D treatment had the greatest effect and yet remained below the WHO cost-effectiveness thresholds. CONCLUSIONS: Population screening for vitamin D insufficiency followed by treatment based on the vitamin D serum level is the most cost-effective strategy for preventing hip fracture occurrence in the population over 65 years old.",2014-01-16761,24691648,Osteoporos Int,K Zarca,2014,25 / 6,1797-806,No,24691648,"K Zarca; I Durand-Zaleski; C Roux; J-C Souberbielle; A-M Schott; T Thomas; P Fardellone; C-L Benhamou; Cost-effectiveness analysis of hip fracture prevention with vitamin D supplementation: a Markov micro-simulation model applied to the French population over 65 years old without previous hip fracture, Osteoporos Int, ; 25(6):0937-941X; 1797-806",QALY,French Republic,Not Stated,Not Stated,Population screening for vitamin D insufficiency and subsequent treatment adaptation vs. Standard/Usual Care- no treatment,no previous hip fracture,Not Stated,65 Years,"Female, Male",Full,Lifetime,3.00,Not Stated,9104,Euro,2012,13196.32
13529,Cost-effectiveness of sofosbuvir-based triple therapy for untreated patients with genotype 1 chronic hepatitis C,"We assessed the cost-effectiveness of sofosbuvir (SOF)-based triple therapy (TT) compared with boceprevir (BOC)- and telaprevir (TVR)-based TT in untreated genotype 1 (G1) chronic hepatitis C (CHC) patients discriminated according to IL28B genotype, severity of liver fibrosis, and G1 subtype. The available published literature provided the data source. The target population was made up of untreated Caucasian patients, aged 50 years, with G1CHC and these were evaluated over a lifetime horizon by Markov model. The study was carried out from the perspective of the Italian National Health Service. Outcomes included discounted costs (in euros at 2013 value), life-years gained (LYG), quality-adjusted life year (QALY), and incremental cost-effectiveness ratio (ICER). Cost of SOF was assumed to be euro 3,500 per week, i.e., the price generating a willingness-to-pay threshold of euro 25,000 per LYG compared with TVR in the entire population of untreated G1 patients. The robustness of the results was evaluated by one-way deterministic and multivariate probabilistic sensitivity analyses. SOF was cost-effective compared with BOC in all strategies with the exception of cirrhosis and IL28B CC patients. In comparison with TVR-based strategies, SOF was cost-effective in IL28B CT/TT (ICER per LYG euro 22,229) and G1a (euro 19,359) patients, not cost-effective in IL28B CC (euro45,330), fibrosis F0-F3 (euro 26,444), and in cirrhosis (euro 34,906) patients, and dominated in G1b patients. The models were sensitive to SOF prices and to likelihood of sustained virological response. CONCLUSION: In untreated G1 CHC patients, SOF-based TT may be a cost-effective alternative to first-generation protease inhibitors depending on pricing. The cost-effectiveness of SOF improved in IL28B CT/TT and G1a patients. SOF was dominated by TVR in G1b patients even if, in clinical practice, this issue could be counterbalanced by the good tolerability profile of SOF and by the shorter treatment duration.",2014-01-16762,24691835,Hepatology,Salvatore Petta,2014,59 / 5,1692-705,No,24691835,"Salvatore Petta; Giuseppe Cabibbo; Marco Enea; Fabio Salvatore Macaluso; Antonella Plaia; Raffaele Bruno; Antonio Gasbarrini; Antonio Craxi; Calogero Camma; WEF Study Group; Cost-effectiveness of sofosbuvir-based triple therapy for untreated patients with genotype 1 chronic hepatitis C, Hepatology, ; 59(5):0270-9139; 1692-705",QALY,Italy,Not Stated,Not Stated,Sofosbuvir therapy vs. Telaprevir-response-guided-therapy,Untreated,50 Years,50 Years,Male,Full,Lifetime,3.00,3.00,14734.25,Euro,2014,21418.57
13530,Cost-effectiveness of sofosbuvir-based triple therapy for untreated patients with genotype 1 chronic hepatitis C,"We assessed the cost-effectiveness of sofosbuvir (SOF)-based triple therapy (TT) compared with boceprevir (BOC)- and telaprevir (TVR)-based TT in untreated genotype 1 (G1) chronic hepatitis C (CHC) patients discriminated according to IL28B genotype, severity of liver fibrosis, and G1 subtype. The available published literature provided the data source. The target population was made up of untreated Caucasian patients, aged 50 years, with G1CHC and these were evaluated over a lifetime horizon by Markov model. The study was carried out from the perspective of the Italian National Health Service. Outcomes included discounted costs (in euros at 2013 value), life-years gained (LYG), quality-adjusted life year (QALY), and incremental cost-effectiveness ratio (ICER). Cost of SOF was assumed to be euro 3,500 per week, i.e., the price generating a willingness-to-pay threshold of euro 25,000 per LYG compared with TVR in the entire population of untreated G1 patients. The robustness of the results was evaluated by one-way deterministic and multivariate probabilistic sensitivity analyses. SOF was cost-effective compared with BOC in all strategies with the exception of cirrhosis and IL28B CC patients. In comparison with TVR-based strategies, SOF was cost-effective in IL28B CT/TT (ICER per LYG euro 22,229) and G1a (euro 19,359) patients, not cost-effective in IL28B CC (euro45,330), fibrosis F0-F3 (euro 26,444), and in cirrhosis (euro 34,906) patients, and dominated in G1b patients. The models were sensitive to SOF prices and to likelihood of sustained virological response. CONCLUSION: In untreated G1 CHC patients, SOF-based TT may be a cost-effective alternative to first-generation protease inhibitors depending on pricing. The cost-effectiveness of SOF improved in IL28B CT/TT and G1a patients. SOF was dominated by TVR in G1b patients even if, in clinical practice, this issue could be counterbalanced by the good tolerability profile of SOF and by the shorter treatment duration.",2014-01-16762,24691835,Hepatology,Salvatore Petta,2014,59 / 5,1692-705,No,24691835,"Salvatore Petta; Giuseppe Cabibbo; Marco Enea; Fabio Salvatore Macaluso; Antonella Plaia; Raffaele Bruno; Antonio Gasbarrini; Antonio Craxi; Calogero Camma; WEF Study Group; Cost-effectiveness of sofosbuvir-based triple therapy for untreated patients with genotype 1 chronic hepatitis C, Hepatology, ; 59(5):0270-9139; 1692-705",QALY,Italy,Not Stated,Not Stated,Sofosbuvir therapy vs. Bocepprevir-response-guided-therapy,Untreated,50 Years,50 Years,Male,Full,Lifetime,3.00,3.00,11916.81,Euro,2014,17322.99
13531,Cost-effectiveness of sofosbuvir-based triple therapy for untreated patients with genotype 1 chronic hepatitis C,"We assessed the cost-effectiveness of sofosbuvir (SOF)-based triple therapy (TT) compared with boceprevir (BOC)- and telaprevir (TVR)-based TT in untreated genotype 1 (G1) chronic hepatitis C (CHC) patients discriminated according to IL28B genotype, severity of liver fibrosis, and G1 subtype. The available published literature provided the data source. The target population was made up of untreated Caucasian patients, aged 50 years, with G1CHC and these were evaluated over a lifetime horizon by Markov model. The study was carried out from the perspective of the Italian National Health Service. Outcomes included discounted costs (in euros at 2013 value), life-years gained (LYG), quality-adjusted life year (QALY), and incremental cost-effectiveness ratio (ICER). Cost of SOF was assumed to be euro 3,500 per week, i.e., the price generating a willingness-to-pay threshold of euro 25,000 per LYG compared with TVR in the entire population of untreated G1 patients. The robustness of the results was evaluated by one-way deterministic and multivariate probabilistic sensitivity analyses. SOF was cost-effective compared with BOC in all strategies with the exception of cirrhosis and IL28B CC patients. In comparison with TVR-based strategies, SOF was cost-effective in IL28B CT/TT (ICER per LYG euro 22,229) and G1a (euro 19,359) patients, not cost-effective in IL28B CC (euro45,330), fibrosis F0-F3 (euro 26,444), and in cirrhosis (euro 34,906) patients, and dominated in G1b patients. The models were sensitive to SOF prices and to likelihood of sustained virological response. CONCLUSION: In untreated G1 CHC patients, SOF-based TT may be a cost-effective alternative to first-generation protease inhibitors depending on pricing. The cost-effectiveness of SOF improved in IL28B CT/TT and G1a patients. SOF was dominated by TVR in G1b patients even if, in clinical practice, this issue could be counterbalanced by the good tolerability profile of SOF and by the shorter treatment duration.",2014-01-16762,24691835,Hepatology,Salvatore Petta,2014,59 / 5,1692-705,No,24691835,"Salvatore Petta; Giuseppe Cabibbo; Marco Enea; Fabio Salvatore Macaluso; Antonella Plaia; Raffaele Bruno; Antonio Gasbarrini; Antonio Craxi; Calogero Camma; WEF Study Group; Cost-effectiveness of sofosbuvir-based triple therapy for untreated patients with genotype 1 chronic hepatitis C, Hepatology, ; 59(5):0270-9139; 1692-705",QALY,Italy,Not Stated,Not Stated,Sofosbuvir-IL28BCC therapy vs. Telaprevir-response-guided-IL28BCC therapy,"Untreated, subtype IL28B CC",50 Years,50 Years,Male,Full,Lifetime,3.00,3.00,29770,Euro,2014,43275.43
