index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
22128,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 24 vs. Personalized screening 23,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,86970,Australia,2016,69743.71
22129,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 25 vs. Personalized screening 24,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,95845,Australia,2016,76860.83
22130,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 26 vs. Personalized screening 25,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,127618,Australia,2016,102340.5
22131,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 27 vs. Personalized screening 26,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,72796,Australia,2016,58377.18
22132,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 28 vs. Personalized screening 27,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,172640,Australia,2016,138444.91
22133,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 29 vs. Personalized screening 28,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,180219,Australia,2016,144522.73
22134,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 30 vs. Personalized screening 29,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,181642,Australia,2016,145663.87
22135,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 31 vs. Personalized screening 30,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,226549,Australia,2016,181676.07
22136,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 32 vs. Personalized screening 31,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,196921,Australia,2016,157916.54
22137,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 33 vs. Personalized screening 32,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,295369,Australia,2016,236864.78
22138,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 34 vs. Personalized screening 33,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,455480,Australia,2016,365262.34
22139,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 35 vs. Personalized screening 34,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,696391,Australia,2016,558455.7
22140,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 36 vs. Personalized screening 35,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,600609,Australia,2016,481645.4
