index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
26925,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries","The risk of dying from cervical cancer is disproportionately borne by women in developing countries. Two new vaccines are highly effective in preventing HPV 16,18 infection, responsible for approximately 70% of cervical cancer, in girls not previously infected. The GAVI Alliance (GAVI) provides technical assistance and financial support for immunization in the world's poorest countries. Using population-based and epidemiologic data for 72 GAVI-eligible countries we estimate averted cervical cancer cases and deaths, disability-adjusted years of life (DALYs) averted and incremental cost-effectiveness ratios (I$/DALY averted) associated with HPV 16,18 vaccination of young adolescent girls. In addition to vaccine coverage and efficacy, relative and absolute cancer reduction depended on underlying incidence, proportion attributable to HPV types 16 and 18, population age-structure and competing mortality. With 70% coverage, mean reduction in the lifetime risk of cancer is below 40% in some countries (e.g., Nigeria, Ghana) and above 50% in others (e.g., India, Uganda, Kenya). At I$10 per vaccinated girl (approximately $2.00 per dose assuming three doses, plus wastage, administration, program support) vaccination was cost-effective in all countries using a per capita GDP threshold; for 49 of 72 countries, the cost per DALY averted was less than I$100 and for 59 countries, it was less than I$200. Taking into account country-specific assumptions (per capita GNI, DPT3 coverage, percentage of girls who are enrolled in fifth grade) for the year of introduction, percent coverage achieved in the first year, and years to maximum coverage, a 10-year modeled scenario prevented the future deaths of approximately 2 million women vaccinated as adolescents. Despite favorable cost-effectiveness, assessment of financial costs raised concerns about affordability; as the cost per vaccinated girl was increased from I$10 to I$25 (approximately $2 to $5 per dose), the financial costs for the 10-year scenario increased from >US$ 900 million to US$ 2.25 billion. Provided high coverage of young adolescent girls is feasible, and vaccine costs are lowered, HPV 16,18 vaccination could be very cost-effective even in the poorest countries, and provide comparable value for resources to other new vaccines such as rotavirus.",2008-99-03649,18550229,Vaccine,Sue J Goldie,2008,26 / 32,4080-93,Yes,18550229,"Sue J Goldie; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries, Vaccine, 2008-Jul-29; 26(32):1873-2518; 4080-93",DALY,Djibouti,Not Stated,Immunization,"HPV 16, 18 vaccination vs. None",Not previously infected with HPV,9 Years,9 Years,Female,Full,,3,3,Not Stated,United States,2005,Not Stated
26926,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries","The risk of dying from cervical cancer is disproportionately borne by women in developing countries. Two new vaccines are highly effective in preventing HPV 16,18 infection, responsible for approximately 70% of cervical cancer, in girls not previously infected. The GAVI Alliance (GAVI) provides technical assistance and financial support for immunization in the world's poorest countries. Using population-based and epidemiologic data for 72 GAVI-eligible countries we estimate averted cervical cancer cases and deaths, disability-adjusted years of life (DALYs) averted and incremental cost-effectiveness ratios (I$/DALY averted) associated with HPV 16,18 vaccination of young adolescent girls. In addition to vaccine coverage and efficacy, relative and absolute cancer reduction depended on underlying incidence, proportion attributable to HPV types 16 and 18, population age-structure and competing mortality. With 70% coverage, mean reduction in the lifetime risk of cancer is below 40% in some countries (e.g., Nigeria, Ghana) and above 50% in others (e.g., India, Uganda, Kenya). At I$10 per vaccinated girl (approximately $2.00 per dose assuming three doses, plus wastage, administration, program support) vaccination was cost-effective in all countries using a per capita GDP threshold; for 49 of 72 countries, the cost per DALY averted was less than I$100 and for 59 countries, it was less than I$200. Taking into account country-specific assumptions (per capita GNI, DPT3 coverage, percentage of girls who are enrolled in fifth grade) for the year of introduction, percent coverage achieved in the first year, and years to maximum coverage, a 10-year modeled scenario prevented the future deaths of approximately 2 million women vaccinated as adolescents. Despite favorable cost-effectiveness, assessment of financial costs raised concerns about affordability; as the cost per vaccinated girl was increased from I$10 to I$25 (approximately $2 to $5 per dose), the financial costs for the 10-year scenario increased from >US$ 900 million to US$ 2.25 billion. Provided high coverage of young adolescent girls is feasible, and vaccine costs are lowered, HPV 16,18 vaccination could be very cost-effective even in the poorest countries, and provide comparable value for resources to other new vaccines such as rotavirus.",2008-99-03649,18550229,Vaccine,Sue J Goldie,2008,26 / 32,4080-93,Yes,18550229,"Sue J Goldie; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries, Vaccine, 2008-Jul-29; 26(32):1873-2518; 4080-93",DALY,Somalia,Not Stated,Immunization,"HPV 16, 18 vaccination vs. None",Not previously infected with HPV,9 Years,9 Years,Female,Full,,3,3,50,United States,2005,66.26
26927,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries","The risk of dying from cervical cancer is disproportionately borne by women in developing countries. Two new vaccines are highly effective in preventing HPV 16,18 infection, responsible for approximately 70% of cervical cancer, in girls not previously infected. The GAVI Alliance (GAVI) provides technical assistance and financial support for immunization in the world's poorest countries. Using population-based and epidemiologic data for 72 GAVI-eligible countries we estimate averted cervical cancer cases and deaths, disability-adjusted years of life (DALYs) averted and incremental cost-effectiveness ratios (I$/DALY averted) associated with HPV 16,18 vaccination of young adolescent girls. In addition to vaccine coverage and efficacy, relative and absolute cancer reduction depended on underlying incidence, proportion attributable to HPV types 16 and 18, population age-structure and competing mortality. With 70% coverage, mean reduction in the lifetime risk of cancer is below 40% in some countries (e.g., Nigeria, Ghana) and above 50% in others (e.g., India, Uganda, Kenya). At I$10 per vaccinated girl (approximately $2.00 per dose assuming three doses, plus wastage, administration, program support) vaccination was cost-effective in all countries using a per capita GDP threshold; for 49 of 72 countries, the cost per DALY averted was less than I$100 and for 59 countries, it was less than I$200. Taking into account country-specific assumptions (per capita GNI, DPT3 coverage, percentage of girls who are enrolled in fifth grade) for the year of introduction, percent coverage achieved in the first year, and years to maximum coverage, a 10-year modeled scenario prevented the future deaths of approximately 2 million women vaccinated as adolescents. Despite favorable cost-effectiveness, assessment of financial costs raised concerns about affordability; as the cost per vaccinated girl was increased from I$10 to I$25 (approximately $2 to $5 per dose), the financial costs for the 10-year scenario increased from >US$ 900 million to US$ 2.25 billion. Provided high coverage of young adolescent girls is feasible, and vaccine costs are lowered, HPV 16,18 vaccination could be very cost-effective even in the poorest countries, and provide comparable value for resources to other new vaccines such as rotavirus.",2008-99-03649,18550229,Vaccine,Sue J Goldie,2008,26 / 32,4080-93,Yes,18550229,"Sue J Goldie; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries, Vaccine, 2008-Jul-29; 26(32):1873-2518; 4080-93",DALY,South Sudan,Not Stated,Immunization,"HPV 16, 18 vaccination vs. None",Not previously infected with HPV,9 Years,9 Years,Female,Full,,3,3,200,United States,2005,265.04
26928,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries","The risk of dying from cervical cancer is disproportionately borne by women in developing countries. Two new vaccines are highly effective in preventing HPV 16,18 infection, responsible for approximately 70% of cervical cancer, in girls not previously infected. The GAVI Alliance (GAVI) provides technical assistance and financial support for immunization in the world's poorest countries. Using population-based and epidemiologic data for 72 GAVI-eligible countries we estimate averted cervical cancer cases and deaths, disability-adjusted years of life (DALYs) averted and incremental cost-effectiveness ratios (I$/DALY averted) associated with HPV 16,18 vaccination of young adolescent girls. In addition to vaccine coverage and efficacy, relative and absolute cancer reduction depended on underlying incidence, proportion attributable to HPV types 16 and 18, population age-structure and competing mortality. With 70% coverage, mean reduction in the lifetime risk of cancer is below 40% in some countries (e.g., Nigeria, Ghana) and above 50% in others (e.g., India, Uganda, Kenya). At I$10 per vaccinated girl (approximately $2.00 per dose assuming three doses, plus wastage, administration, program support) vaccination was cost-effective in all countries using a per capita GDP threshold; for 49 of 72 countries, the cost per DALY averted was less than I$100 and for 59 countries, it was less than I$200. Taking into account country-specific assumptions (per capita GNI, DPT3 coverage, percentage of girls who are enrolled in fifth grade) for the year of introduction, percent coverage achieved in the first year, and years to maximum coverage, a 10-year modeled scenario prevented the future deaths of approximately 2 million women vaccinated as adolescents. Despite favorable cost-effectiveness, assessment of financial costs raised concerns about affordability; as the cost per vaccinated girl was increased from I$10 to I$25 (approximately $2 to $5 per dose), the financial costs for the 10-year scenario increased from >US$ 900 million to US$ 2.25 billion. Provided high coverage of young adolescent girls is feasible, and vaccine costs are lowered, HPV 16,18 vaccination could be very cost-effective even in the poorest countries, and provide comparable value for resources to other new vaccines such as rotavirus.",2008-99-03649,18550229,Vaccine,Sue J Goldie,2008,26 / 32,4080-93,Yes,18550229,"Sue J Goldie; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries, Vaccine, 2008-Jul-29; 26(32):1873-2518; 4080-93",DALY,Yemen,Not Stated,Immunization,"HPV 16, 18 vaccination vs. None",Not previously infected with HPV,9 Years,9 Years,Female,Full,,3,3,510,United States,2005,675.85
26929,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries","The risk of dying from cervical cancer is disproportionately borne by women in developing countries. Two new vaccines are highly effective in preventing HPV 16,18 infection, responsible for approximately 70% of cervical cancer, in girls not previously infected. The GAVI Alliance (GAVI) provides technical assistance and financial support for immunization in the world's poorest countries. Using population-based and epidemiologic data for 72 GAVI-eligible countries we estimate averted cervical cancer cases and deaths, disability-adjusted years of life (DALYs) averted and incremental cost-effectiveness ratios (I$/DALY averted) associated with HPV 16,18 vaccination of young adolescent girls. In addition to vaccine coverage and efficacy, relative and absolute cancer reduction depended on underlying incidence, proportion attributable to HPV types 16 and 18, population age-structure and competing mortality. With 70% coverage, mean reduction in the lifetime risk of cancer is below 40% in some countries (e.g., Nigeria, Ghana) and above 50% in others (e.g., India, Uganda, Kenya). At I$10 per vaccinated girl (approximately $2.00 per dose assuming three doses, plus wastage, administration, program support) vaccination was cost-effective in all countries using a per capita GDP threshold; for 49 of 72 countries, the cost per DALY averted was less than I$100 and for 59 countries, it was less than I$200. Taking into account country-specific assumptions (per capita GNI, DPT3 coverage, percentage of girls who are enrolled in fifth grade) for the year of introduction, percent coverage achieved in the first year, and years to maximum coverage, a 10-year modeled scenario prevented the future deaths of approximately 2 million women vaccinated as adolescents. Despite favorable cost-effectiveness, assessment of financial costs raised concerns about affordability; as the cost per vaccinated girl was increased from I$10 to I$25 (approximately $2 to $5 per dose), the financial costs for the 10-year scenario increased from >US$ 900 million to US$ 2.25 billion. Provided high coverage of young adolescent girls is feasible, and vaccine costs are lowered, HPV 16,18 vaccination could be very cost-effective even in the poorest countries, and provide comparable value for resources to other new vaccines such as rotavirus.",2008-99-03649,18550229,Vaccine,Sue J Goldie,2008,26 / 32,4080-93,Yes,18550229,"Sue J Goldie; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries, Vaccine, 2008-Jul-29; 26(32):1873-2518; 4080-93",DALY,Afghanistan,Not Stated,Immunization,"HPV 16, 18 vaccination vs. None",Not previously infected with HPV,9 Years,9 Years,Female,Full,,3,3,540,United States,2005,715.61
26930,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries","The risk of dying from cervical cancer is disproportionately borne by women in developing countries. Two new vaccines are highly effective in preventing HPV 16,18 infection, responsible for approximately 70% of cervical cancer, in girls not previously infected. The GAVI Alliance (GAVI) provides technical assistance and financial support for immunization in the world's poorest countries. Using population-based and epidemiologic data for 72 GAVI-eligible countries we estimate averted cervical cancer cases and deaths, disability-adjusted years of life (DALYs) averted and incremental cost-effectiveness ratios (I$/DALY averted) associated with HPV 16,18 vaccination of young adolescent girls. In addition to vaccine coverage and efficacy, relative and absolute cancer reduction depended on underlying incidence, proportion attributable to HPV types 16 and 18, population age-structure and competing mortality. With 70% coverage, mean reduction in the lifetime risk of cancer is below 40% in some countries (e.g., Nigeria, Ghana) and above 50% in others (e.g., India, Uganda, Kenya). At I$10 per vaccinated girl (approximately $2.00 per dose assuming three doses, plus wastage, administration, program support) vaccination was cost-effective in all countries using a per capita GDP threshold; for 49 of 72 countries, the cost per DALY averted was less than I$100 and for 59 countries, it was less than I$200. Taking into account country-specific assumptions (per capita GNI, DPT3 coverage, percentage of girls who are enrolled in fifth grade) for the year of introduction, percent coverage achieved in the first year, and years to maximum coverage, a 10-year modeled scenario prevented the future deaths of approximately 2 million women vaccinated as adolescents. Despite favorable cost-effectiveness, assessment of financial costs raised concerns about affordability; as the cost per vaccinated girl was increased from I$10 to I$25 (approximately $2 to $5 per dose), the financial costs for the 10-year scenario increased from >US$ 900 million to US$ 2.25 billion. Provided high coverage of young adolescent girls is feasible, and vaccine costs are lowered, HPV 16,18 vaccination could be very cost-effective even in the poorest countries, and provide comparable value for resources to other new vaccines such as rotavirus.",2008-99-03649,18550229,Vaccine,Sue J Goldie,2008,26 / 32,4080-93,Yes,18550229,"Sue J Goldie; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries, Vaccine, 2008-Jul-29; 26(32):1873-2518; 4080-93",DALY,Pakistan,Not Stated,Immunization,"HPV 16, 18 vaccination vs. None",Not previously infected with HPV,9 Years,9 Years,Female,Full,,3,3,500,United States,2005,662.6
26931,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries","The risk of dying from cervical cancer is disproportionately borne by women in developing countries. Two new vaccines are highly effective in preventing HPV 16,18 infection, responsible for approximately 70% of cervical cancer, in girls not previously infected. The GAVI Alliance (GAVI) provides technical assistance and financial support for immunization in the world's poorest countries. Using population-based and epidemiologic data for 72 GAVI-eligible countries we estimate averted cervical cancer cases and deaths, disability-adjusted years of life (DALYs) averted and incremental cost-effectiveness ratios (I$/DALY averted) associated with HPV 16,18 vaccination of young adolescent girls. In addition to vaccine coverage and efficacy, relative and absolute cancer reduction depended on underlying incidence, proportion attributable to HPV types 16 and 18, population age-structure and competing mortality. With 70% coverage, mean reduction in the lifetime risk of cancer is below 40% in some countries (e.g., Nigeria, Ghana) and above 50% in others (e.g., India, Uganda, Kenya). At I$10 per vaccinated girl (approximately $2.00 per dose assuming three doses, plus wastage, administration, program support) vaccination was cost-effective in all countries using a per capita GDP threshold; for 49 of 72 countries, the cost per DALY averted was less than I$100 and for 59 countries, it was less than I$200. Taking into account country-specific assumptions (per capita GNI, DPT3 coverage, percentage of girls who are enrolled in fifth grade) for the year of introduction, percent coverage achieved in the first year, and years to maximum coverage, a 10-year modeled scenario prevented the future deaths of approximately 2 million women vaccinated as adolescents. Despite favorable cost-effectiveness, assessment of financial costs raised concerns about affordability; as the cost per vaccinated girl was increased from I$10 to I$25 (approximately $2 to $5 per dose), the financial costs for the 10-year scenario increased from >US$ 900 million to US$ 2.25 billion. Provided high coverage of young adolescent girls is feasible, and vaccine costs are lowered, HPV 16,18 vaccination could be very cost-effective even in the poorest countries, and provide comparable value for resources to other new vaccines such as rotavirus.",2008-99-03649,18550229,Vaccine,Sue J Goldie,2008,26 / 32,4080-93,Yes,18550229,"Sue J Goldie; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries, Vaccine, 2008-Jul-29; 26(32):1873-2518; 4080-93",DALY,Kyrgyzstan,Not Stated,Immunization,"HPV 16, 18 vaccination vs. None",Not previously infected with HPV,9 Years,9 Years,Female,Full,,3,3,70,United States,2005,92.76
26932,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries","The risk of dying from cervical cancer is disproportionately borne by women in developing countries. Two new vaccines are highly effective in preventing HPV 16,18 infection, responsible for approximately 70% of cervical cancer, in girls not previously infected. The GAVI Alliance (GAVI) provides technical assistance and financial support for immunization in the world's poorest countries. Using population-based and epidemiologic data for 72 GAVI-eligible countries we estimate averted cervical cancer cases and deaths, disability-adjusted years of life (DALYs) averted and incremental cost-effectiveness ratios (I$/DALY averted) associated with HPV 16,18 vaccination of young adolescent girls. In addition to vaccine coverage and efficacy, relative and absolute cancer reduction depended on underlying incidence, proportion attributable to HPV types 16 and 18, population age-structure and competing mortality. With 70% coverage, mean reduction in the lifetime risk of cancer is below 40% in some countries (e.g., Nigeria, Ghana) and above 50% in others (e.g., India, Uganda, Kenya). At I$10 per vaccinated girl (approximately $2.00 per dose assuming three doses, plus wastage, administration, program support) vaccination was cost-effective in all countries using a per capita GDP threshold; for 49 of 72 countries, the cost per DALY averted was less than I$100 and for 59 countries, it was less than I$200. Taking into account country-specific assumptions (per capita GNI, DPT3 coverage, percentage of girls who are enrolled in fifth grade) for the year of introduction, percent coverage achieved in the first year, and years to maximum coverage, a 10-year modeled scenario prevented the future deaths of approximately 2 million women vaccinated as adolescents. Despite favorable cost-effectiveness, assessment of financial costs raised concerns about affordability; as the cost per vaccinated girl was increased from I$10 to I$25 (approximately $2 to $5 per dose), the financial costs for the 10-year scenario increased from >US$ 900 million to US$ 2.25 billion. Provided high coverage of young adolescent girls is feasible, and vaccine costs are lowered, HPV 16,18 vaccination could be very cost-effective even in the poorest countries, and provide comparable value for resources to other new vaccines such as rotavirus.",2008-99-03649,18550229,Vaccine,Sue J Goldie,2008,26 / 32,4080-93,Yes,18550229,"Sue J Goldie; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries, Vaccine, 2008-Jul-29; 26(32):1873-2518; 4080-93",DALY,Moldova,Not Stated,Immunization,"HPV 16, 18 vaccination vs. None",Not previously infected with HPV,9 Years,9 Years,Female,Full,,3,3,110,United States,2005,145.77
26933,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries","The risk of dying from cervical cancer is disproportionately borne by women in developing countries. Two new vaccines are highly effective in preventing HPV 16,18 infection, responsible for approximately 70% of cervical cancer, in girls not previously infected. The GAVI Alliance (GAVI) provides technical assistance and financial support for immunization in the world's poorest countries. Using population-based and epidemiologic data for 72 GAVI-eligible countries we estimate averted cervical cancer cases and deaths, disability-adjusted years of life (DALYs) averted and incremental cost-effectiveness ratios (I$/DALY averted) associated with HPV 16,18 vaccination of young adolescent girls. In addition to vaccine coverage and efficacy, relative and absolute cancer reduction depended on underlying incidence, proportion attributable to HPV types 16 and 18, population age-structure and competing mortality. With 70% coverage, mean reduction in the lifetime risk of cancer is below 40% in some countries (e.g., Nigeria, Ghana) and above 50% in others (e.g., India, Uganda, Kenya). At I$10 per vaccinated girl (approximately $2.00 per dose assuming three doses, plus wastage, administration, program support) vaccination was cost-effective in all countries using a per capita GDP threshold; for 49 of 72 countries, the cost per DALY averted was less than I$100 and for 59 countries, it was less than I$200. Taking into account country-specific assumptions (per capita GNI, DPT3 coverage, percentage of girls who are enrolled in fifth grade) for the year of introduction, percent coverage achieved in the first year, and years to maximum coverage, a 10-year modeled scenario prevented the future deaths of approximately 2 million women vaccinated as adolescents. Despite favorable cost-effectiveness, assessment of financial costs raised concerns about affordability; as the cost per vaccinated girl was increased from I$10 to I$25 (approximately $2 to $5 per dose), the financial costs for the 10-year scenario increased from >US$ 900 million to US$ 2.25 billion. Provided high coverage of young adolescent girls is feasible, and vaccine costs are lowered, HPV 16,18 vaccination could be very cost-effective even in the poorest countries, and provide comparable value for resources to other new vaccines such as rotavirus.",2008-99-03649,18550229,Vaccine,Sue J Goldie,2008,26 / 32,4080-93,Yes,18550229,"Sue J Goldie; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries, Vaccine, 2008-Jul-29; 26(32):1873-2518; 4080-93",DALY,Georgia,Not Stated,Immunization,"HPV 16, 18 vaccination vs. None",Not previously infected with HPV,9 Years,9 Years,Female,Full,,3,3,90,United States,2005,119.27
26934,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries","The risk of dying from cervical cancer is disproportionately borne by women in developing countries. Two new vaccines are highly effective in preventing HPV 16,18 infection, responsible for approximately 70% of cervical cancer, in girls not previously infected. The GAVI Alliance (GAVI) provides technical assistance and financial support for immunization in the world's poorest countries. Using population-based and epidemiologic data for 72 GAVI-eligible countries we estimate averted cervical cancer cases and deaths, disability-adjusted years of life (DALYs) averted and incremental cost-effectiveness ratios (I$/DALY averted) associated with HPV 16,18 vaccination of young adolescent girls. In addition to vaccine coverage and efficacy, relative and absolute cancer reduction depended on underlying incidence, proportion attributable to HPV types 16 and 18, population age-structure and competing mortality. With 70% coverage, mean reduction in the lifetime risk of cancer is below 40% in some countries (e.g., Nigeria, Ghana) and above 50% in others (e.g., India, Uganda, Kenya). At I$10 per vaccinated girl (approximately $2.00 per dose assuming three doses, plus wastage, administration, program support) vaccination was cost-effective in all countries using a per capita GDP threshold; for 49 of 72 countries, the cost per DALY averted was less than I$100 and for 59 countries, it was less than I$200. Taking into account country-specific assumptions (per capita GNI, DPT3 coverage, percentage of girls who are enrolled in fifth grade) for the year of introduction, percent coverage achieved in the first year, and years to maximum coverage, a 10-year modeled scenario prevented the future deaths of approximately 2 million women vaccinated as adolescents. Despite favorable cost-effectiveness, assessment of financial costs raised concerns about affordability; as the cost per vaccinated girl was increased from I$10 to I$25 (approximately $2 to $5 per dose), the financial costs for the 10-year scenario increased from >US$ 900 million to US$ 2.25 billion. Provided high coverage of young adolescent girls is feasible, and vaccine costs are lowered, HPV 16,18 vaccination could be very cost-effective even in the poorest countries, and provide comparable value for resources to other new vaccines such as rotavirus.",2008-99-03649,18550229,Vaccine,Sue J Goldie,2008,26 / 32,4080-93,Yes,18550229,"Sue J Goldie; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries, Vaccine, 2008-Jul-29; 26(32):1873-2518; 4080-93",DALY,Armenia,Not Stated,Immunization,"HPV 16, 18 vaccination vs. None",Not previously infected with HPV,9 Years,9 Years,Female,Full,,3,3,70,United States,2005,92.76
26935,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries","The risk of dying from cervical cancer is disproportionately borne by women in developing countries. Two new vaccines are highly effective in preventing HPV 16,18 infection, responsible for approximately 70% of cervical cancer, in girls not previously infected. The GAVI Alliance (GAVI) provides technical assistance and financial support for immunization in the world's poorest countries. Using population-based and epidemiologic data for 72 GAVI-eligible countries we estimate averted cervical cancer cases and deaths, disability-adjusted years of life (DALYs) averted and incremental cost-effectiveness ratios (I$/DALY averted) associated with HPV 16,18 vaccination of young adolescent girls. In addition to vaccine coverage and efficacy, relative and absolute cancer reduction depended on underlying incidence, proportion attributable to HPV types 16 and 18, population age-structure and competing mortality. With 70% coverage, mean reduction in the lifetime risk of cancer is below 40% in some countries (e.g., Nigeria, Ghana) and above 50% in others (e.g., India, Uganda, Kenya). At I$10 per vaccinated girl (approximately $2.00 per dose assuming three doses, plus wastage, administration, program support) vaccination was cost-effective in all countries using a per capita GDP threshold; for 49 of 72 countries, the cost per DALY averted was less than I$100 and for 59 countries, it was less than I$200. Taking into account country-specific assumptions (per capita GNI, DPT3 coverage, percentage of girls who are enrolled in fifth grade) for the year of introduction, percent coverage achieved in the first year, and years to maximum coverage, a 10-year modeled scenario prevented the future deaths of approximately 2 million women vaccinated as adolescents. Despite favorable cost-effectiveness, assessment of financial costs raised concerns about affordability; as the cost per vaccinated girl was increased from I$10 to I$25 (approximately $2 to $5 per dose), the financial costs for the 10-year scenario increased from >US$ 900 million to US$ 2.25 billion. Provided high coverage of young adolescent girls is feasible, and vaccine costs are lowered, HPV 16,18 vaccination could be very cost-effective even in the poorest countries, and provide comparable value for resources to other new vaccines such as rotavirus.",2008-99-03649,18550229,Vaccine,Sue J Goldie,2008,26 / 32,4080-93,Yes,18550229,"Sue J Goldie; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Meredith O'Shea; Nicole Gastineau Campos; Mireia Diaz; Steven Sweet; Sun-Young Kim; Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries, Vaccine, 2008-Jul-29; 26(32):1873-2518; 4080-93",DALY,Ukraine,Not Stated,Immunization,"HPV 16, 18 vaccination vs. None",Not previously infected with HPV,9 Years,9 Years,Female,Full,,3,3,90,United States,2005,119.27
