index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
32611,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,everolimus vs. azathioprine,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,383000,United Kingdom,2015,669278.8
32612,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,mycophenolate sodium vs. azathioprine,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,56600,United Kingdom,2015,98906.48
32613,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,rabbit anti-human thymocyte immunoglobulin vs. treatment without induction,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2015,Not Stated
32614,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,"belatacept vs. immediate-release tacrolimus, sirolimus, and ciclosporin",Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2015,Not Stated
32615,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,tacrolimus vs. sirolimus,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2015,Not Stated
32616,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,prolonged release tacrolimus vs. immediate release tacrolimus,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2015,Not Stated
32617,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",Not Stated,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,prolonged release tacrolimus,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2015,Not Stated
32618,"Palbociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer","NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41593,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Palbociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer, NotApplicable, ; NotApplicable():",QALY,England,"Malignant neoplasms, breast and female genital organs",Pharmaceutical,palbociclib vs. usual care,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2015,Not Stated
32619,Autologous chondrocyte implantation using chondrosphere for treating symptomatic articular cartilage defects of the knee,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2018-01-41592,,NotApplicable,NotApplicable,2018,NotApplicable /,,No,Not Stated,"NotApplicable; Autologous chondrocyte implantation using chondrosphere for treating symptomatic articular cartilage defects of the knee, NotApplicable, ; NotApplicable():",QALY,England,Other joint disorders,Medical Procedure,chondrosphere vs. microfracture,"no previous surgery, minimal osteoarthritic damage to the knee, defect over 2 square centimeters",Not Stated,18 Years,"Male, Female",Full,100 Years,Not Stated,Not Stated,4360,United Kingdom,2016,6672.51
32620,Autologous chondrocyte implantation using chondrosphere for treating symptomatic articular cartilage defects of the knee,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2018-01-41592,,NotApplicable,NotApplicable,2018,NotApplicable /,,No,Not Stated,"NotApplicable; Autologous chondrocyte implantation using chondrosphere for treating symptomatic articular cartilage defects of the knee, NotApplicable, ; NotApplicable():",QALY,England,Other joint disorders,Medical Procedure,chondrosphere vs. microfracture,"no previous surgery, minimal osteoarthritic damage to the knee, defect over 2 square centimeters",Not Stated,18 Years,"Male, Female",Full,100 Years,Not Stated,Not Stated,5294,United Kingdom,2016,8101.89
32621,Ocrelizumab for treating relapsing–remitting multiple sclerosis,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2018-01-41596,,NotApplicable,NotApplicable,2018,NotApplicable /,,No,Not Stated,"NotApplicable; Ocrelizumab for treating relapsing–remitting multiple sclerosis, NotApplicable, ; NotApplicable():",QALY,England,Demyelinating diseases of the central nervous system,Pharmaceutical,ocrelizumab vs. natalizumab,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2016,Not Stated
32622,Ocrelizumab for treating relapsing–remitting multiple sclerosis,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2018-01-41596,,NotApplicable,NotApplicable,2018,NotApplicable /,,No,Not Stated,"NotApplicable; Ocrelizumab for treating relapsing–remitting multiple sclerosis, NotApplicable, ; NotApplicable():",QALY,England,Demyelinating diseases of the central nervous system,Pharmaceutical,ocrelizumab vs. alemtuzumab,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2016,Not Stated
32623,Ocrelizumab for treating relapsing–remitting multiple sclerosis,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2018-01-41596,,NotApplicable,NotApplicable,2018,NotApplicable /,,No,Not Stated,"NotApplicable; Ocrelizumab for treating relapsing–remitting multiple sclerosis, NotApplicable, ; NotApplicable():",QALY,England,Demyelinating diseases of the central nervous system,Pharmaceutical,ocrelizumab vs. beta interferons,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2016,Not Stated
