index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
16201,Portable electronic vision enhancement systems in comparison with optical magnifiers for near vision activities: an economic evaluation alongside a randomized crossover trial,"PURPOSE: To determine the incremental cost-effectiveness of portable electronic vision enhancement system (p-EVES) devices compared with optical low vision aids (LVAs), for improving near vision visual function, quality of life and well-being of people with a visual impairment. METHODS: An AB/BA randomized crossover trial design was used. Eighty-two participants completed the study. Participants were current users of optical LVAs who had not tried a p-EVES device before and had a stable visual impairment. The trial intervention was the addition of a p-EVES device to the participant''s existing optical LVA(s) for 2 months, and the control intervention was optical LVA use only, for 2 months. Cost-effectiveness and cost-utility analyses were conducted from a societal perspective. RESULTS: The mean cost of the p-EVES intervention was pound448. Carer costs were pound30 (4.46 hr) less for the p-EVES intervention compared with the LVA only control. The mean difference in total costs was pound417. Bootstrapping gave an incremental cost-effectiveness ratio (ICER) of pound736 (95% CI pound481 to pound1525) for a 7% improvement in near vision visual function. Cost per quality-adjusted life year (QALY) ranged from pound56 991 (lower 95% CI = pound19 801) to pound66 490 (lower 95% CI = pound23 055). Sensitivity analysis varying the commercial price of the p-EVES device reduced ICERs by up to 75%, with cost per QALYs falling below pound30 000. CONCLUSION: Portable electronic vision enhancement system (p-EVES) devices are likely to be a cost-effective use of healthcare resources for improving near vision visual function, but this does not translate into cost-effective improvements in quality of life, capability or well-being.",2016-01-22039,27682985,Acta Ophthalmol,Nathan Bray,2016,/,,No,27682985,"Nathan Bray; Andrew Brand; John Taylor; Zoe Hoare; Christine Dickinson; Rhiannon T Edwards; Portable electronic vision enhancement systems in comparison with optical magnifiers for near vision activities: an economic evaluation alongside a randomized crossover trial, Acta Ophthalmol , 2016 Sep 29; ():1755-3768",QALY,United Kingdom,Not Stated,Not Stated,Portable Electronic Vision Enhancement System (p-EVES) device vs. Standard/Usual Care- Optical low vision aids (LVAs),Participants were current users of Optical low vision aids (LVAs) who had not tried a Portable Electronic Vision Enhancement System (p-EVES) device before and had a stable visual impairment.,Not Stated,19 Years,"Female, Male",Full,2 Months,Not Stated,Not Stated,56991.43,United Kingdom,2014,102706.96
16221,Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study,"INTRODUCTION: Once-daily tenofovir/emtricitabine-based pre-exposure prophylaxis (PrEP) can reduce HIV acquisition in men who have sex with men (MSM), by 44% in the iPrEx trial, and reaching up to 99% with high adherence. We examined the potential population-level impact and cost-effectiveness of different PrEP implementation strategies. METHODS: We developed a dynamic, stochastic compartmental model of HIV transmission among the estimated 57,400 MSM in Toronto, Canada. Parameterization was performed using local epidemiologic data. Strategies examined included (1) uniform PrEP delivery versus targeting the highest risk decile of MSM (with varying coverage proportions); (2) increasing PrEP efficacy as a surrogate of adherence (44% to 99%); and (3) varying HIV test frequency (once monthly to once yearly). Outcomes included HIV infections averted and the incremental cost ($CAD) per incremental quality-adjusted-life-year (QALY) gained over 20 years. RESULTS: Use of PrEP among all HIV-uninfected MSM at 25, 50, 75 and 100% coverage prevented 1970, 3427, 4317, and 4581 infections, respectively, with cost/QALY increasing from $500,000 to $800,000 CAD. Targeted PrEP for the highest risk MSM at 25, 50, 75 and 100% coverage prevented 1166, 2154, 2816, and 3012 infections, respectively, with cost/QALY ranging from $35,000 to $70,000 CAD. Maximizing PrEP efficacy, in a scenario of 25% coverage of high-risk MSM with PrEP, prevented 1540 infections with a cost/QALY of $15,000 CAD. HIV testing alone (Q3 months) averted 898 of infections with a cost savings of $4,000 CAD per QALY. CONCLUSIONS: The optimal implementation strategy for PrEP over the next 20 years at this urban centre is to target high-risk MSM and to maximize efficacy by supporting PrEP adherence. A large health benefit of PrEP implementation could come from engaging undiagnosed HIV-infected individuals into care.",2016-01-22062,27665722,J Int AIDS Soc,Derek R MacFadden,2016,19 / 1,20791,No,27665722,"Derek R MacFadden; Darrell H Tan; Sharmistha Mishra; Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study, J Int AIDS Soc, 2016; 19(1):1758-2652; 20791",QALY,Canada,Not Stated,Not Stated,Pre exposure Prophylaxis (PrEP) vs. None,25 % of high risk Men who have Sex Men (MSM) with testing frequency every 6 months,Not Stated,19 Years,Male,Full,20 Years,3.00,3.00,33393,Canada,2013,36031.78
16222,Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study,"INTRODUCTION: Once-daily tenofovir/emtricitabine-based pre-exposure prophylaxis (PrEP) can reduce HIV acquisition in men who have sex with men (MSM), by 44% in the iPrEx trial, and reaching up to 99% with high adherence. We examined the potential population-level impact and cost-effectiveness of different PrEP implementation strategies. METHODS: We developed a dynamic, stochastic compartmental model of HIV transmission among the estimated 57,400 MSM in Toronto, Canada. Parameterization was performed using local epidemiologic data. Strategies examined included (1) uniform PrEP delivery versus targeting the highest risk decile of MSM (with varying coverage proportions); (2) increasing PrEP efficacy as a surrogate of adherence (44% to 99%); and (3) varying HIV test frequency (once monthly to once yearly). Outcomes included HIV infections averted and the incremental cost ($CAD) per incremental quality-adjusted-life-year (QALY) gained over 20 years. RESULTS: Use of PrEP among all HIV-uninfected MSM at 25, 50, 75 and 100% coverage prevented 1970, 3427, 4317, and 4581 infections, respectively, with cost/QALY increasing from $500,000 to $800,000 CAD. Targeted PrEP for the highest risk MSM at 25, 50, 75 and 100% coverage prevented 1166, 2154, 2816, and 3012 infections, respectively, with cost/QALY ranging from $35,000 to $70,000 CAD. Maximizing PrEP efficacy, in a scenario of 25% coverage of high-risk MSM with PrEP, prevented 1540 infections with a cost/QALY of $15,000 CAD. HIV testing alone (Q3 months) averted 898 of infections with a cost savings of $4,000 CAD per QALY. CONCLUSIONS: The optimal implementation strategy for PrEP over the next 20 years at this urban centre is to target high-risk MSM and to maximize efficacy by supporting PrEP adherence. A large health benefit of PrEP implementation could come from engaging undiagnosed HIV-infected individuals into care.",2016-01-22062,27665722,J Int AIDS Soc,Derek R MacFadden,2016,19 / 1,20791,No,27665722,"Derek R MacFadden; Darrell H Tan; Sharmistha Mishra; Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study, J Int AIDS Soc, 2016; 19(1):1758-2652; 20791",QALY,Canada,Not Stated,Not Stated,Pre exposure Prophylaxis (PrEP) vs. None,25 % of high risk Men who have Sex Men (MSM) with testing frequency every 12 months,Not Stated,19 Years,Male,Full,20 Years,3.00,3.00,34856,Canada,2013,37610.39
16223,Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study,"INTRODUCTION: Once-daily tenofovir/emtricitabine-based pre-exposure prophylaxis (PrEP) can reduce HIV acquisition in men who have sex with men (MSM), by 44% in the iPrEx trial, and reaching up to 99% with high adherence. We examined the potential population-level impact and cost-effectiveness of different PrEP implementation strategies. METHODS: We developed a dynamic, stochastic compartmental model of HIV transmission among the estimated 57,400 MSM in Toronto, Canada. Parameterization was performed using local epidemiologic data. Strategies examined included (1) uniform PrEP delivery versus targeting the highest risk decile of MSM (with varying coverage proportions); (2) increasing PrEP efficacy as a surrogate of adherence (44% to 99%); and (3) varying HIV test frequency (once monthly to once yearly). Outcomes included HIV infections averted and the incremental cost ($CAD) per incremental quality-adjusted-life-year (QALY) gained over 20 years. RESULTS: Use of PrEP among all HIV-uninfected MSM at 25, 50, 75 and 100% coverage prevented 1970, 3427, 4317, and 4581 infections, respectively, with cost/QALY increasing from $500,000 to $800,000 CAD. Targeted PrEP for the highest risk MSM at 25, 50, 75 and 100% coverage prevented 1166, 2154, 2816, and 3012 infections, respectively, with cost/QALY ranging from $35,000 to $70,000 CAD. Maximizing PrEP efficacy, in a scenario of 25% coverage of high-risk MSM with PrEP, prevented 1540 infections with a cost/QALY of $15,000 CAD. HIV testing alone (Q3 months) averted 898 of infections with a cost savings of $4,000 CAD per QALY. CONCLUSIONS: The optimal implementation strategy for PrEP over the next 20 years at this urban centre is to target high-risk MSM and to maximize efficacy by supporting PrEP adherence. A large health benefit of PrEP implementation could come from engaging undiagnosed HIV-infected individuals into care.",2016-01-22062,27665722,J Int AIDS Soc,Derek R MacFadden,2016,19 / 1,20791,No,27665722,"Derek R MacFadden; Darrell H Tan; Sharmistha Mishra; Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study, J Int AIDS Soc, 2016; 19(1):1758-2652; 20791",QALY,Canada,Not Stated,Not Stated,Pre exposure Prophylaxis (PrEP) vs. None,25 % of high risk Men who have Sex Men (MSM) with testing frequency -testing only,Not Stated,19 Years,Male,Full,20 Years,3.00,3.00,60137.46,Canada,2013,64889.64
16224,Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study,"INTRODUCTION: Once-daily tenofovir/emtricitabine-based pre-exposure prophylaxis (PrEP) can reduce HIV acquisition in men who have sex with men (MSM), by 44% in the iPrEx trial, and reaching up to 99% with high adherence. We examined the potential population-level impact and cost-effectiveness of different PrEP implementation strategies. METHODS: We developed a dynamic, stochastic compartmental model of HIV transmission among the estimated 57,400 MSM in Toronto, Canada. Parameterization was performed using local epidemiologic data. Strategies examined included (1) uniform PrEP delivery versus targeting the highest risk decile of MSM (with varying coverage proportions); (2) increasing PrEP efficacy as a surrogate of adherence (44% to 99%); and (3) varying HIV test frequency (once monthly to once yearly). Outcomes included HIV infections averted and the incremental cost ($CAD) per incremental quality-adjusted-life-year (QALY) gained over 20 years. RESULTS: Use of PrEP among all HIV-uninfected MSM at 25, 50, 75 and 100% coverage prevented 1970, 3427, 4317, and 4581 infections, respectively, with cost/QALY increasing from $500,000 to $800,000 CAD. Targeted PrEP for the highest risk MSM at 25, 50, 75 and 100% coverage prevented 1166, 2154, 2816, and 3012 infections, respectively, with cost/QALY ranging from $35,000 to $70,000 CAD. Maximizing PrEP efficacy, in a scenario of 25% coverage of high-risk MSM with PrEP, prevented 1540 infections with a cost/QALY of $15,000 CAD. HIV testing alone (Q3 months) averted 898 of infections with a cost savings of $4,000 CAD per QALY. CONCLUSIONS: The optimal implementation strategy for PrEP over the next 20 years at this urban centre is to target high-risk MSM and to maximize efficacy by supporting PrEP adherence. A large health benefit of PrEP implementation could come from engaging undiagnosed HIV-infected individuals into care.",2016-01-22062,27665722,J Int AIDS Soc,Derek R MacFadden,2016,19 / 1,20791,No,27665722,"Derek R MacFadden; Darrell H Tan; Sharmistha Mishra; Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study, J Int AIDS Soc, 2016; 19(1):1758-2652; 20791",QALY,Canada,Not Stated,Not Stated,Pre exposure Prophylaxis (PrEP) efficacy 45% vs. None,25 % of high risk Men who have Sex Men (MSM),Not Stated,19 Years,Male,Full,20 Years,3.00,3.00,34999,Canada,2013,37764.69
16225,Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study,"INTRODUCTION: Once-daily tenofovir/emtricitabine-based pre-exposure prophylaxis (PrEP) can reduce HIV acquisition in men who have sex with men (MSM), by 44% in the iPrEx trial, and reaching up to 99% with high adherence. We examined the potential population-level impact and cost-effectiveness of different PrEP implementation strategies. METHODS: We developed a dynamic, stochastic compartmental model of HIV transmission among the estimated 57,400 MSM in Toronto, Canada. Parameterization was performed using local epidemiologic data. Strategies examined included (1) uniform PrEP delivery versus targeting the highest risk decile of MSM (with varying coverage proportions); (2) increasing PrEP efficacy as a surrogate of adherence (44% to 99%); and (3) varying HIV test frequency (once monthly to once yearly). Outcomes included HIV infections averted and the incremental cost ($CAD) per incremental quality-adjusted-life-year (QALY) gained over 20 years. RESULTS: Use of PrEP among all HIV-uninfected MSM at 25, 50, 75 and 100% coverage prevented 1970, 3427, 4317, and 4581 infections, respectively, with cost/QALY increasing from $500,000 to $800,000 CAD. Targeted PrEP for the highest risk MSM at 25, 50, 75 and 100% coverage prevented 1166, 2154, 2816, and 3012 infections, respectively, with cost/QALY ranging from $35,000 to $70,000 CAD. Maximizing PrEP efficacy, in a scenario of 25% coverage of high-risk MSM with PrEP, prevented 1540 infections with a cost/QALY of $15,000 CAD. HIV testing alone (Q3 months) averted 898 of infections with a cost savings of $4,000 CAD per QALY. CONCLUSIONS: The optimal implementation strategy for PrEP over the next 20 years at this urban centre is to target high-risk MSM and to maximize efficacy by supporting PrEP adherence. A large health benefit of PrEP implementation could come from engaging undiagnosed HIV-infected individuals into care.",2016-01-22062,27665722,J Int AIDS Soc,Derek R MacFadden,2016,19 / 1,20791,No,27665722,"Derek R MacFadden; Darrell H Tan; Sharmistha Mishra; Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study, J Int AIDS Soc, 2016; 19(1):1758-2652; 20791",QALY,Canada,Not Stated,Not Stated,Pre exposure Prophylaxis (PrEP) efficacy 76% vs. None,25 % of high risk Men who have Sex Men (MSM),Not Stated,19 Years,Male,Full,20 Years,3.00,3.00,22766,Canada,2013,24565.02
16226,Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study,"INTRODUCTION: Once-daily tenofovir/emtricitabine-based pre-exposure prophylaxis (PrEP) can reduce HIV acquisition in men who have sex with men (MSM), by 44% in the iPrEx trial, and reaching up to 99% with high adherence. We examined the potential population-level impact and cost-effectiveness of different PrEP implementation strategies. METHODS: We developed a dynamic, stochastic compartmental model of HIV transmission among the estimated 57,400 MSM in Toronto, Canada. Parameterization was performed using local epidemiologic data. Strategies examined included (1) uniform PrEP delivery versus targeting the highest risk decile of MSM (with varying coverage proportions); (2) increasing PrEP efficacy as a surrogate of adherence (44% to 99%); and (3) varying HIV test frequency (once monthly to once yearly). Outcomes included HIV infections averted and the incremental cost ($CAD) per incremental quality-adjusted-life-year (QALY) gained over 20 years. RESULTS: Use of PrEP among all HIV-uninfected MSM at 25, 50, 75 and 100% coverage prevented 1970, 3427, 4317, and 4581 infections, respectively, with cost/QALY increasing from $500,000 to $800,000 CAD. Targeted PrEP for the highest risk MSM at 25, 50, 75 and 100% coverage prevented 1166, 2154, 2816, and 3012 infections, respectively, with cost/QALY ranging from $35,000 to $70,000 CAD. Maximizing PrEP efficacy, in a scenario of 25% coverage of high-risk MSM with PrEP, prevented 1540 infections with a cost/QALY of $15,000 CAD. HIV testing alone (Q3 months) averted 898 of infections with a cost savings of $4,000 CAD per QALY. CONCLUSIONS: The optimal implementation strategy for PrEP over the next 20 years at this urban centre is to target high-risk MSM and to maximize efficacy by supporting PrEP adherence. A large health benefit of PrEP implementation could come from engaging undiagnosed HIV-infected individuals into care.",2016-01-22062,27665722,J Int AIDS Soc,Derek R MacFadden,2016,19 / 1,20791,No,27665722,"Derek R MacFadden; Darrell H Tan; Sharmistha Mishra; Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study, J Int AIDS Soc, 2016; 19(1):1758-2652; 20791",QALY,Canada,Not Stated,Not Stated,Pre exposure Prophylaxis (PrEP) efficacy 96% vs. None,25 % of high risk Men who have Sex Men (MSM),Not Stated,19 Years,Male,Full,20 Years,3.00,3.00,15889,Canada,2013,17144.58
16227,Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study,"INTRODUCTION: Once-daily tenofovir/emtricitabine-based pre-exposure prophylaxis (PrEP) can reduce HIV acquisition in men who have sex with men (MSM), by 44% in the iPrEx trial, and reaching up to 99% with high adherence. We examined the potential population-level impact and cost-effectiveness of different PrEP implementation strategies. METHODS: We developed a dynamic, stochastic compartmental model of HIV transmission among the estimated 57,400 MSM in Toronto, Canada. Parameterization was performed using local epidemiologic data. Strategies examined included (1) uniform PrEP delivery versus targeting the highest risk decile of MSM (with varying coverage proportions); (2) increasing PrEP efficacy as a surrogate of adherence (44% to 99%); and (3) varying HIV test frequency (once monthly to once yearly). Outcomes included HIV infections averted and the incremental cost ($CAD) per incremental quality-adjusted-life-year (QALY) gained over 20 years. RESULTS: Use of PrEP among all HIV-uninfected MSM at 25, 50, 75 and 100% coverage prevented 1970, 3427, 4317, and 4581 infections, respectively, with cost/QALY increasing from $500,000 to $800,000 CAD. Targeted PrEP for the highest risk MSM at 25, 50, 75 and 100% coverage prevented 1166, 2154, 2816, and 3012 infections, respectively, with cost/QALY ranging from $35,000 to $70,000 CAD. Maximizing PrEP efficacy, in a scenario of 25% coverage of high-risk MSM with PrEP, prevented 1540 infections with a cost/QALY of $15,000 CAD. HIV testing alone (Q3 months) averted 898 of infections with a cost savings of $4,000 CAD per QALY. CONCLUSIONS: The optimal implementation strategy for PrEP over the next 20 years at this urban centre is to target high-risk MSM and to maximize efficacy by supporting PrEP adherence. A large health benefit of PrEP implementation could come from engaging undiagnosed HIV-infected individuals into care.",2016-01-22062,27665722,J Int AIDS Soc,Derek R MacFadden,2016,19 / 1,20791,No,27665722,"Derek R MacFadden; Darrell H Tan; Sharmistha Mishra; Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study, J Int AIDS Soc, 2016; 19(1):1758-2652; 20791",QALY,Canada,Not Stated,Not Stated,Pre exposure Prophylaxis (PrEP) efficacy 99% vs. None,25 % of high risk Men who have Sex Men (MSM),Not Stated,19 Years,Male,Full,20 Years,3.00,3.00,15275,Canada,2013,16482.06
16228,Determining Cost-Effectiveness of Total Hip and Knee Arthroplasty Using the Short Form-6D Utility Measure,"BACKGROUND: With the implementation of the Patient Protection and Affordable Care Act, cost-effectiveness analyses are becoming increasingly important for resource allocation, and particularly for the justification of costly procedures, such as total knee and total hip arthroplasties (TKAs and THAs). Therefore, using the Short Form-6D (SF-6D) utility values, the purpose of this study was to determine (1) the quality-adjusted life years (QALYs) gained and (2) and the cost-effectiveness of undergoing THA and TKA. METHODS: A total of 844 patients (357 men, 487 women) who had a mean age of 65 years (range, 39 to 80 years) underwent primary TKA, and 224 patients who had a mean age of 69 years (range, 44 to 88 years) underwent primary THAs at 7 institutions. The SF-6D values were derived for each patient preoperatively and at 1-year follow-up. QALYs were estimated at 1 year, and lifetime QALYs gained were determined using predicted life-expectancy values, at a discounted rate of 3% per year of life expectancy, to reflect a diminishing gain with time. National-level costs were determined using the 2011 Nationwide Inpatient Sample, and incremental cost-effectiveness ratios (ICER) were deduced for both groups. RESULTS: The preoperative SF-6D values for the THA and TKA cohorts were 0.614 (range, 0.37 to 1) and 0.62 (range, 0.3 to 0.93). Postoperatively, SF-6D values improved significantly at 1 year in both groups. One-year QALYs for TKA and THA were 0.768 and 0.799. Lifetime QALYs gained for the groups were 2.07 and 1.85 (1.39 and 1.34 if discounted at a rate of 3% per year). The estimated ICER for TKA vs baseline presurgery was $43,107 per QALY, and $39,453 per QALY for THA vs baseline presurgery. CONCLUSION: The ICER showed that THA and TKA are cost-effective, compared to the $50,000 USD/QALY threshold for cost-effectiveness, and justify resources allocated to these surgeries. The SF-6D can utilize existing functional outcome data, which makes these cost calculations considerably easier and more feasible for practicing orthopedists.",2016-01-22065,27665243,J Arthroplasty,Randa K Elmallah,2017,32 / 2,,No,27665243,"Randa K Elmallah; Morad Chughtai; Anton Khlopas; Manoshi Bhowmik-Stoker; Kevin J Bozic; Steven M Kurtz; Michael A Mont; Determining Cost-Effectiveness of Total Hip and Knee Arthroplasty Using the Short Form-6D Utility Measure, J Arthroplasty, 2017 Feb; 32(2):0883-5403",QALY,United States of America,Not Stated,Not Stated,Total Hip Arthroplasty (THA) vs. Baseline Presurgery,Not Stated,Not Stated,65 Years,"Female, Male",Full,"1 Year, Lifetime",Not Stated,3.00,39453,United States,2014,43131.89
16229,Determining Cost-Effectiveness of Total Hip and Knee Arthroplasty Using the Short Form-6D Utility Measure,"BACKGROUND: With the implementation of the Patient Protection and Affordable Care Act, cost-effectiveness analyses are becoming increasingly important for resource allocation, and particularly for the justification of costly procedures, such as total knee and total hip arthroplasties (TKAs and THAs). Therefore, using the Short Form-6D (SF-6D) utility values, the purpose of this study was to determine (1) the quality-adjusted life years (QALYs) gained and (2) and the cost-effectiveness of undergoing THA and TKA. METHODS: A total of 844 patients (357 men, 487 women) who had a mean age of 65 years (range, 39 to 80 years) underwent primary TKA, and 224 patients who had a mean age of 69 years (range, 44 to 88 years) underwent primary THAs at 7 institutions. The SF-6D values were derived for each patient preoperatively and at 1-year follow-up. QALYs were estimated at 1 year, and lifetime QALYs gained were determined using predicted life-expectancy values, at a discounted rate of 3% per year of life expectancy, to reflect a diminishing gain with time. National-level costs were determined using the 2011 Nationwide Inpatient Sample, and incremental cost-effectiveness ratios (ICER) were deduced for both groups. RESULTS: The preoperative SF-6D values for the THA and TKA cohorts were 0.614 (range, 0.37 to 1) and 0.62 (range, 0.3 to 0.93). Postoperatively, SF-6D values improved significantly at 1 year in both groups. One-year QALYs for TKA and THA were 0.768 and 0.799. Lifetime QALYs gained for the groups were 2.07 and 1.85 (1.39 and 1.34 if discounted at a rate of 3% per year). The estimated ICER for TKA vs baseline presurgery was $43,107 per QALY, and $39,453 per QALY for THA vs baseline presurgery. CONCLUSION: The ICER showed that THA and TKA are cost-effective, compared to the $50,000 USD/QALY threshold for cost-effectiveness, and justify resources allocated to these surgeries. The SF-6D can utilize existing functional outcome data, which makes these cost calculations considerably easier and more feasible for practicing orthopedists.",2016-01-22065,27665243,J Arthroplasty,Randa K Elmallah,2017,32 / 2,,No,27665243,"Randa K Elmallah; Morad Chughtai; Anton Khlopas; Manoshi Bhowmik-Stoker; Kevin J Bozic; Steven M Kurtz; Michael A Mont; Determining Cost-Effectiveness of Total Hip and Knee Arthroplasty Using the Short Form-6D Utility Measure, J Arthroplasty, 2017 Feb; 32(2):0883-5403",QALY,United States of America,Not Stated,Not Stated,Total Knee Arthroplasty (TKA) at lifetime vs. Baseline Presurgery,Not Stated,Not Stated,65 Years,"Female, Male",Full,"1 Year, Lifetime",Not Stated,3.00,43107,United States,2014,47126.61
16230,Pulmonary artery pressure-guided heart failure management: US cost-effectiveness analyses using the results of the CHAMPION clinical trial,"AIMS: Haemodynamic-guided heart failure (HF) management effectively reduces decompensation events and need for hospitalizations. The economic benefit of clinical improvement requires further study. METHODS AND RESULTS: An estimate of the cost-effectiveness of haemodynamic-guided HF management was made based on observations published in the randomized, prospective single-blinded CHAMPION trial. A comprehensive analysis was performed including healthcare utilization event rates, survival, and quality of life demonstrated in the randomized portion of the trial (18 months). Markov modelling with Monte Carlo simulation was used to approximate comprehensive costs and quality-adjusted life years (QALYs) from a payer perspective. Unit costs were estimated using the Truven Health MarketScan database from April 2008 to March 2013. Over a 5-year horizon, patients in the Treatment group had average QALYs of 2.56 with a total cost of US$56 974; patients in the Control group had QALYs of 2.16 with a total cost of US$52 149. The incremental cost-effectiveness ratio (ICER) was US$12 262 per QALY. Using comprehensive cost modelling, including all anticipated costs of HF and non-HF hospitalizations, physician visits, prescription drugs, long-term care, and outpatient hospital visits over 5 years, the Treatment group had a total cost of US$212 004 and the Control group had a total cost of US$200 360. The ICER was US$29 593 per QALY. CONCLUSIONS: Standard economic modelling suggests that pulmonary artery pressure-guided management of HF using the CardioMEMS HF System is cost-effective from the US-payer perspective. This analysis provides the background for further modelling in specific country healthcare systems and cost structures.",2016-01-22105,27647784,Eur J Heart Fail,Melissa Martinson,2017,19 / 5,,No,27647784,"Melissa Martinson; Rupinder Bharmi; Nirav Dalal; William T Abraham; Philip B Adamson; Pulmonary artery pressure-guided heart failure management: US cost-effectiveness analyses using the results of the CHAMPION clinical trial, Eur J Heart Fail, 2017 May; 19(5):1388-9842",QALY,United States of America,Not Stated,Not Stated,Pulmonary artery pressure-guided heart failure management suing Cardio MEMS vs. Standard/Usual Care,Not Stated,Not Stated,19 Years,"Female, Male",Full,5 Years,3.00,3.00,12262,United States,2014,13405.4
16231,Optimal timing for hepatitis C therapy in US patients eligible for liver transplantation: a cost-effectiveness analysis,"BACKGROUND: Recurrence of hepatitis C virus (HCV) following liver transplantation (LT) is universal for those with ongoing viraemia and is associated with higher rates of allograft failure and death. However, the optimal timing of HCV treatment for patients awaiting transplant remains unclear. AIM: To evaluate the comparative cost-effectiveness of treating HCV pre-LT vs. post-LT (pre-emptive or after HCV recurrence). METHODS: A Markov state-transition model was created to simulate the progression of a cohort of HCV-genotype 1 or 4 cirrhotic patients from the time of transplant listing until death. We then used this model to study the cost-effectiveness of ledipasvir-sofosbuvir (LDV/SOF) with ribavirin for 12 weeks, administered for three separate treatment strategies: (i) pre-LT; (ii) post-LT preemptively prior to HCV recurrence; or (iii) post-LT after HCV recurrence. RESULTS: In the base-case analysis using a median model for end-stage liver disease (MELD) score <25 at the time of transplant, we found that pre-LT treatment of HCV led to more QALYs for fewer dollars compared to other strategies. Analysis limited to living donor LT recipients revealed that pre-LT treatment was also the most cost-effective strategy. When the analysis was repeated for MELD >/=25, decompensated disease (Child-Pugh class B or C), and hepatocellular carcinoma cases, preemptive post-LT strategy was more cost-effective. CONCLUSIONS: Treatment of HCV prior to liver transplantation appears to be the most cost-effective strategy for patients with a MELD score <25. For patients with a MELD >/=25 or decompensated cirrhosis, preemptive post-liver transplantation treatment before HCV recurrence is the most cost-effective strategy.",2016-01-22118,27640785,Aliment Pharmacol Ther,B Njei,2016,44 / 10,1090-1101,No,27640785,"B Njei; T R McCarty; B E Fortune; J K Lim; Optimal timing for hepatitis C therapy in US patients eligible for liver transplantation: a cost-effectiveness analysis, Aliment Pharmacol Ther, 2016 Nov; 44(10):0269-2813; 1090-1101",QALY,United States of America,Not Stated,Not Stated,Post-Lung Transplantation preemptive vs. Pre-Lung Transplantation,Base case: HCV-cirrhosis listed for Liver Transplantation: MELD <25 based upon SOLAR data,Not Stated,19 Years,"Female, Male",Full,Lifetime,3.00,3.00,-5283,United States,2014,-5775.63
