index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
29301,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study,"BACKGROUND: Introduction of human papillomavirus (HPV) vaccination in settings with the highest burden of HPV is not universal, partly because of the absence of quantitative estimates of country-specific effects on health and economic costs. We aimed to develop and validate a simple generic model of such effects that could be used and understood in a range of settings with little external support. METHODS: We developed the Papillomavirus Rapid Interface for Modelling and Economics (PRIME) model to assess cost-effectiveness and health effects of vaccination of girls against HPV before sexual debut in terms of burden of cervical cancer and mortality. PRIME models incidence according to proposed vaccine efficacy against HPV 16/18, vaccine coverage, cervical cancer incidence and mortality, and HPV type distribution. It assumes lifelong vaccine protection and no changes to other screening programmes or vaccine uptake. We validated PRIME against existing reports of HPV vaccination cost-effectiveness, projected outcomes for 179 countries (assuming full vaccination of 12-year-old girls), and outcomes for 71 phase 2 GAVI-eligible countries (using vaccine uptake data from the GAVI Alliance). We assessed differences between countries in terms of cost-effectiveness and health effects. FINDINGS: In validation, PRIME reproduced cost-effectiveness conclusions for 24 of 26 countries from 17 published studies, and for all 72 countries in a published study of GAVI-eligible countries. Vaccination of a cohort of 58 million 12-year-old girls in 179 countries prevented 690,000 cases of cervical cancer and 420,000 deaths during their lifetime (mostly in low-income or middle-income countries), at a net cost of US$4 billion. HPV vaccination was very cost effective (with every disability-adjusted life-year averted costing less than the gross domestic product per head) in 156 (87%) of 179 countries. Introduction of the vaccine in countries without national HPV vaccination at present would prevent substantially more cases of cervical cancer than in countries with such programmes, although the disparity has narrowed since 2012. If 71 phase 2 GAVI-eligible countries adopt vaccination according to forecasts, then in 2070 GAVI Alliance-funded vaccination could prevent 200,000 cases of cervical cancer and 100,000 deaths in some of the highest-burden countries. INTERPRETATION: Large between-country disparities exist for HPV vaccination, with countries with the most to gain yet to introduce national HPV vaccination. Support from the GAVI Alliance could help to reduce such disparities, but a substantial burden will remain even after presently projected vaccine introductions. FUNDING: WHO.",2014-99-16080,25103394,Lancet Glob Health,Mark Jit,2014,2 / 7,e406-14,No,25103394,"Mark Jit; Marc Brisson; Allison Portnoy; Raymond Hutubessy; Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study, Lancet Glob Health, ; 2(7):2214-109X; e406-14",DALY,Denmark,Not Stated,Immunization,Human papillomavirus (HPV) vaccination vs. None,Not Stated,12 Years,12 Years,Female,Full,,3.00,3,30900,United States,2011,35553.02
29318,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study,"BACKGROUND: Introduction of human papillomavirus (HPV) vaccination in settings with the highest burden of HPV is not universal, partly because of the absence of quantitative estimates of country-specific effects on health and economic costs. We aimed to develop and validate a simple generic model of such effects that could be used and understood in a range of settings with little external support. METHODS: We developed the Papillomavirus Rapid Interface for Modelling and Economics (PRIME) model to assess cost-effectiveness and health effects of vaccination of girls against HPV before sexual debut in terms of burden of cervical cancer and mortality. PRIME models incidence according to proposed vaccine efficacy against HPV 16/18, vaccine coverage, cervical cancer incidence and mortality, and HPV type distribution. It assumes lifelong vaccine protection and no changes to other screening programmes or vaccine uptake. We validated PRIME against existing reports of HPV vaccination cost-effectiveness, projected outcomes for 179 countries (assuming full vaccination of 12-year-old girls), and outcomes for 71 phase 2 GAVI-eligible countries (using vaccine uptake data from the GAVI Alliance). We assessed differences between countries in terms of cost-effectiveness and health effects. FINDINGS: In validation, PRIME reproduced cost-effectiveness conclusions for 24 of 26 countries from 17 published studies, and for all 72 countries in a published study of GAVI-eligible countries. Vaccination of a cohort of 58 million 12-year-old girls in 179 countries prevented 690,000 cases of cervical cancer and 420,000 deaths during their lifetime (mostly in low-income or middle-income countries), at a net cost of US$4 billion. HPV vaccination was very cost effective (with every disability-adjusted life-year averted costing less than the gross domestic product per head) in 156 (87%) of 179 countries. Introduction of the vaccine in countries without national HPV vaccination at present would prevent substantially more cases of cervical cancer than in countries with such programmes, although the disparity has narrowed since 2012. If 71 phase 2 GAVI-eligible countries adopt vaccination according to forecasts, then in 2070 GAVI Alliance-funded vaccination could prevent 200,000 cases of cervical cancer and 100,000 deaths in some of the highest-burden countries. INTERPRETATION: Large between-country disparities exist for HPV vaccination, with countries with the most to gain yet to introduce national HPV vaccination. Support from the GAVI Alliance could help to reduce such disparities, but a substantial burden will remain even after presently projected vaccine introductions. FUNDING: WHO.",2014-99-16080,25103394,Lancet Glob Health,Mark Jit,2014,2 / 7,e406-14,No,25103394,"Mark Jit; Marc Brisson; Allison Portnoy; Raymond Hutubessy; Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study, Lancet Glob Health, ; 2(7):2214-109X; e406-14",DALY,Ghana,Not Stated,Immunization,Human papillomavirus (HPV) vaccination vs. None,Not Stated,12 Years,12 Years,Female,Full,,3.00,3,436,United States,2011,501.65
29319,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study,"BACKGROUND: Introduction of human papillomavirus (HPV) vaccination in settings with the highest burden of HPV is not universal, partly because of the absence of quantitative estimates of country-specific effects on health and economic costs. We aimed to develop and validate a simple generic model of such effects that could be used and understood in a range of settings with little external support. METHODS: We developed the Papillomavirus Rapid Interface for Modelling and Economics (PRIME) model to assess cost-effectiveness and health effects of vaccination of girls against HPV before sexual debut in terms of burden of cervical cancer and mortality. PRIME models incidence according to proposed vaccine efficacy against HPV 16/18, vaccine coverage, cervical cancer incidence and mortality, and HPV type distribution. It assumes lifelong vaccine protection and no changes to other screening programmes or vaccine uptake. We validated PRIME against existing reports of HPV vaccination cost-effectiveness, projected outcomes for 179 countries (assuming full vaccination of 12-year-old girls), and outcomes for 71 phase 2 GAVI-eligible countries (using vaccine uptake data from the GAVI Alliance). We assessed differences between countries in terms of cost-effectiveness and health effects. FINDINGS: In validation, PRIME reproduced cost-effectiveness conclusions for 24 of 26 countries from 17 published studies, and for all 72 countries in a published study of GAVI-eligible countries. Vaccination of a cohort of 58 million 12-year-old girls in 179 countries prevented 690,000 cases of cervical cancer and 420,000 deaths during their lifetime (mostly in low-income or middle-income countries), at a net cost of US$4 billion. HPV vaccination was very cost effective (with every disability-adjusted life-year averted costing less than the gross domestic product per head) in 156 (87%) of 179 countries. Introduction of the vaccine in countries without national HPV vaccination at present would prevent substantially more cases of cervical cancer than in countries with such programmes, although the disparity has narrowed since 2012. If 71 phase 2 GAVI-eligible countries adopt vaccination according to forecasts, then in 2070 GAVI Alliance-funded vaccination could prevent 200,000 cases of cervical cancer and 100,000 deaths in some of the highest-burden countries. INTERPRETATION: Large between-country disparities exist for HPV vaccination, with countries with the most to gain yet to introduce national HPV vaccination. Support from the GAVI Alliance could help to reduce such disparities, but a substantial burden will remain even after presently projected vaccine introductions. FUNDING: WHO.",2014-99-16080,25103394,Lancet Glob Health,Mark Jit,2014,2 / 7,e406-14,No,25103394,"Mark Jit; Marc Brisson; Allison Portnoy; Raymond Hutubessy; Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study, Lancet Glob Health, ; 2(7):2214-109X; e406-14",DALY,Greece,Not Stated,Immunization,Human papillomavirus (HPV) vaccination vs. None,Not Stated,12 Years,12 Years,Female,Full,,3.00,3,34000,United States,2011,39119.82
29320,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study,"BACKGROUND: Introduction of human papillomavirus (HPV) vaccination in settings with the highest burden of HPV is not universal, partly because of the absence of quantitative estimates of country-specific effects on health and economic costs. We aimed to develop and validate a simple generic model of such effects that could be used and understood in a range of settings with little external support. METHODS: We developed the Papillomavirus Rapid Interface for Modelling and Economics (PRIME) model to assess cost-effectiveness and health effects of vaccination of girls against HPV before sexual debut in terms of burden of cervical cancer and mortality. PRIME models incidence according to proposed vaccine efficacy against HPV 16/18, vaccine coverage, cervical cancer incidence and mortality, and HPV type distribution. It assumes lifelong vaccine protection and no changes to other screening programmes or vaccine uptake. We validated PRIME against existing reports of HPV vaccination cost-effectiveness, projected outcomes for 179 countries (assuming full vaccination of 12-year-old girls), and outcomes for 71 phase 2 GAVI-eligible countries (using vaccine uptake data from the GAVI Alliance). We assessed differences between countries in terms of cost-effectiveness and health effects. FINDINGS: In validation, PRIME reproduced cost-effectiveness conclusions for 24 of 26 countries from 17 published studies, and for all 72 countries in a published study of GAVI-eligible countries. Vaccination of a cohort of 58 million 12-year-old girls in 179 countries prevented 690,000 cases of cervical cancer and 420,000 deaths during their lifetime (mostly in low-income or middle-income countries), at a net cost of US$4 billion. HPV vaccination was very cost effective (with every disability-adjusted life-year averted costing less than the gross domestic product per head) in 156 (87%) of 179 countries. Introduction of the vaccine in countries without national HPV vaccination at present would prevent substantially more cases of cervical cancer than in countries with such programmes, although the disparity has narrowed since 2012. If 71 phase 2 GAVI-eligible countries adopt vaccination according to forecasts, then in 2070 GAVI Alliance-funded vaccination could prevent 200,000 cases of cervical cancer and 100,000 deaths in some of the highest-burden countries. INTERPRETATION: Large between-country disparities exist for HPV vaccination, with countries with the most to gain yet to introduce national HPV vaccination. Support from the GAVI Alliance could help to reduce such disparities, but a substantial burden will remain even after presently projected vaccine introductions. FUNDING: WHO.",2014-99-16080,25103394,Lancet Glob Health,Mark Jit,2014,2 / 7,e406-14,No,25103394,"Mark Jit; Marc Brisson; Allison Portnoy; Raymond Hutubessy; Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study, Lancet Glob Health, ; 2(7):2214-109X; e406-14",DALY,Grenada,Not Stated,Immunization,Human papillomavirus (HPV) vaccination vs. None,Not Stated,12 Years,12 Years,Female,Full,,3.00,3,1580,United States,2011,1817.92
29321,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study,"BACKGROUND: Introduction of human papillomavirus (HPV) vaccination in settings with the highest burden of HPV is not universal, partly because of the absence of quantitative estimates of country-specific effects on health and economic costs. We aimed to develop and validate a simple generic model of such effects that could be used and understood in a range of settings with little external support. METHODS: We developed the Papillomavirus Rapid Interface for Modelling and Economics (PRIME) model to assess cost-effectiveness and health effects of vaccination of girls against HPV before sexual debut in terms of burden of cervical cancer and mortality. PRIME models incidence according to proposed vaccine efficacy against HPV 16/18, vaccine coverage, cervical cancer incidence and mortality, and HPV type distribution. It assumes lifelong vaccine protection and no changes to other screening programmes or vaccine uptake. We validated PRIME against existing reports of HPV vaccination cost-effectiveness, projected outcomes for 179 countries (assuming full vaccination of 12-year-old girls), and outcomes for 71 phase 2 GAVI-eligible countries (using vaccine uptake data from the GAVI Alliance). We assessed differences between countries in terms of cost-effectiveness and health effects. FINDINGS: In validation, PRIME reproduced cost-effectiveness conclusions for 24 of 26 countries from 17 published studies, and for all 72 countries in a published study of GAVI-eligible countries. Vaccination of a cohort of 58 million 12-year-old girls in 179 countries prevented 690,000 cases of cervical cancer and 420,000 deaths during their lifetime (mostly in low-income or middle-income countries), at a net cost of US$4 billion. HPV vaccination was very cost effective (with every disability-adjusted life-year averted costing less than the gross domestic product per head) in 156 (87%) of 179 countries. Introduction of the vaccine in countries without national HPV vaccination at present would prevent substantially more cases of cervical cancer than in countries with such programmes, although the disparity has narrowed since 2012. If 71 phase 2 GAVI-eligible countries adopt vaccination according to forecasts, then in 2070 GAVI Alliance-funded vaccination could prevent 200,000 cases of cervical cancer and 100,000 deaths in some of the highest-burden countries. INTERPRETATION: Large between-country disparities exist for HPV vaccination, with countries with the most to gain yet to introduce national HPV vaccination. Support from the GAVI Alliance could help to reduce such disparities, but a substantial burden will remain even after presently projected vaccine introductions. FUNDING: WHO.",2014-99-16080,25103394,Lancet Glob Health,Mark Jit,2014,2 / 7,e406-14,No,25103394,"Mark Jit; Marc Brisson; Allison Portnoy; Raymond Hutubessy; Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study, Lancet Glob Health, ; 2(7):2214-109X; e406-14",DALY,Guatemala,Not Stated,Immunization,Human papillomavirus (HPV) vaccination vs. None,Not Stated,12 Years,12 Years,Female,Full,,3.00,3,772,United States,2011,888.25
29322,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study,"BACKGROUND: Introduction of human papillomavirus (HPV) vaccination in settings with the highest burden of HPV is not universal, partly because of the absence of quantitative estimates of country-specific effects on health and economic costs. We aimed to develop and validate a simple generic model of such effects that could be used and understood in a range of settings with little external support. METHODS: We developed the Papillomavirus Rapid Interface for Modelling and Economics (PRIME) model to assess cost-effectiveness and health effects of vaccination of girls against HPV before sexual debut in terms of burden of cervical cancer and mortality. PRIME models incidence according to proposed vaccine efficacy against HPV 16/18, vaccine coverage, cervical cancer incidence and mortality, and HPV type distribution. It assumes lifelong vaccine protection and no changes to other screening programmes or vaccine uptake. We validated PRIME against existing reports of HPV vaccination cost-effectiveness, projected outcomes for 179 countries (assuming full vaccination of 12-year-old girls), and outcomes for 71 phase 2 GAVI-eligible countries (using vaccine uptake data from the GAVI Alliance). We assessed differences between countries in terms of cost-effectiveness and health effects. FINDINGS: In validation, PRIME reproduced cost-effectiveness conclusions for 24 of 26 countries from 17 published studies, and for all 72 countries in a published study of GAVI-eligible countries. Vaccination of a cohort of 58 million 12-year-old girls in 179 countries prevented 690,000 cases of cervical cancer and 420,000 deaths during their lifetime (mostly in low-income or middle-income countries), at a net cost of US$4 billion. HPV vaccination was very cost effective (with every disability-adjusted life-year averted costing less than the gross domestic product per head) in 156 (87%) of 179 countries. Introduction of the vaccine in countries without national HPV vaccination at present would prevent substantially more cases of cervical cancer than in countries with such programmes, although the disparity has narrowed since 2012. If 71 phase 2 GAVI-eligible countries adopt vaccination according to forecasts, then in 2070 GAVI Alliance-funded vaccination could prevent 200,000 cases of cervical cancer and 100,000 deaths in some of the highest-burden countries. INTERPRETATION: Large between-country disparities exist for HPV vaccination, with countries with the most to gain yet to introduce national HPV vaccination. Support from the GAVI Alliance could help to reduce such disparities, but a substantial burden will remain even after presently projected vaccine introductions. FUNDING: WHO.",2014-99-16080,25103394,Lancet Glob Health,Mark Jit,2014,2 / 7,e406-14,No,25103394,"Mark Jit; Marc Brisson; Allison Portnoy; Raymond Hutubessy; Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study, Lancet Glob Health, ; 2(7):2214-109X; e406-14",DALY,Guinea,Not Stated,Immunization,Human papillomavirus (HPV) vaccination vs. None,Not Stated,12 Years,12 Years,Female,Full,,3.00,3,275,United States,2011,316.41
29323,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study,"BACKGROUND: Introduction of human papillomavirus (HPV) vaccination in settings with the highest burden of HPV is not universal, partly because of the absence of quantitative estimates of country-specific effects on health and economic costs. We aimed to develop and validate a simple generic model of such effects that could be used and understood in a range of settings with little external support. METHODS: We developed the Papillomavirus Rapid Interface for Modelling and Economics (PRIME) model to assess cost-effectiveness and health effects of vaccination of girls against HPV before sexual debut in terms of burden of cervical cancer and mortality. PRIME models incidence according to proposed vaccine efficacy against HPV 16/18, vaccine coverage, cervical cancer incidence and mortality, and HPV type distribution. It assumes lifelong vaccine protection and no changes to other screening programmes or vaccine uptake. We validated PRIME against existing reports of HPV vaccination cost-effectiveness, projected outcomes for 179 countries (assuming full vaccination of 12-year-old girls), and outcomes for 71 phase 2 GAVI-eligible countries (using vaccine uptake data from the GAVI Alliance). We assessed differences between countries in terms of cost-effectiveness and health effects. FINDINGS: In validation, PRIME reproduced cost-effectiveness conclusions for 24 of 26 countries from 17 published studies, and for all 72 countries in a published study of GAVI-eligible countries. Vaccination of a cohort of 58 million 12-year-old girls in 179 countries prevented 690,000 cases of cervical cancer and 420,000 deaths during their lifetime (mostly in low-income or middle-income countries), at a net cost of US$4 billion. HPV vaccination was very cost effective (with every disability-adjusted life-year averted costing less than the gross domestic product per head) in 156 (87%) of 179 countries. Introduction of the vaccine in countries without national HPV vaccination at present would prevent substantially more cases of cervical cancer than in countries with such programmes, although the disparity has narrowed since 2012. If 71 phase 2 GAVI-eligible countries adopt vaccination according to forecasts, then in 2070 GAVI Alliance-funded vaccination could prevent 200,000 cases of cervical cancer and 100,000 deaths in some of the highest-burden countries. INTERPRETATION: Large between-country disparities exist for HPV vaccination, with countries with the most to gain yet to introduce national HPV vaccination. Support from the GAVI Alliance could help to reduce such disparities, but a substantial burden will remain even after presently projected vaccine introductions. FUNDING: WHO.",2014-99-16080,25103394,Lancet Glob Health,Mark Jit,2014,2 / 7,e406-14,No,25103394,"Mark Jit; Marc Brisson; Allison Portnoy; Raymond Hutubessy; Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study, Lancet Glob Health, ; 2(7):2214-109X; e406-14",DALY,Guinea-Bissau,Not Stated,Immunization,Human papillomavirus (HPV) vaccination vs. None,Not Stated,12 Years,12 Years,Female,Full,,3.00,3,396,United States,2011,455.63
29324,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study,"BACKGROUND: Introduction of human papillomavirus (HPV) vaccination in settings with the highest burden of HPV is not universal, partly because of the absence of quantitative estimates of country-specific effects on health and economic costs. We aimed to develop and validate a simple generic model of such effects that could be used and understood in a range of settings with little external support. METHODS: We developed the Papillomavirus Rapid Interface for Modelling and Economics (PRIME) model to assess cost-effectiveness and health effects of vaccination of girls against HPV before sexual debut in terms of burden of cervical cancer and mortality. PRIME models incidence according to proposed vaccine efficacy against HPV 16/18, vaccine coverage, cervical cancer incidence and mortality, and HPV type distribution. It assumes lifelong vaccine protection and no changes to other screening programmes or vaccine uptake. We validated PRIME against existing reports of HPV vaccination cost-effectiveness, projected outcomes for 179 countries (assuming full vaccination of 12-year-old girls), and outcomes for 71 phase 2 GAVI-eligible countries (using vaccine uptake data from the GAVI Alliance). We assessed differences between countries in terms of cost-effectiveness and health effects. FINDINGS: In validation, PRIME reproduced cost-effectiveness conclusions for 24 of 26 countries from 17 published studies, and for all 72 countries in a published study of GAVI-eligible countries. Vaccination of a cohort of 58 million 12-year-old girls in 179 countries prevented 690,000 cases of cervical cancer and 420,000 deaths during their lifetime (mostly in low-income or middle-income countries), at a net cost of US$4 billion. HPV vaccination was very cost effective (with every disability-adjusted life-year averted costing less than the gross domestic product per head) in 156 (87%) of 179 countries. Introduction of the vaccine in countries without national HPV vaccination at present would prevent substantially more cases of cervical cancer than in countries with such programmes, although the disparity has narrowed since 2012. If 71 phase 2 GAVI-eligible countries adopt vaccination according to forecasts, then in 2070 GAVI Alliance-funded vaccination could prevent 200,000 cases of cervical cancer and 100,000 deaths in some of the highest-burden countries. INTERPRETATION: Large between-country disparities exist for HPV vaccination, with countries with the most to gain yet to introduce national HPV vaccination. Support from the GAVI Alliance could help to reduce such disparities, but a substantial burden will remain even after presently projected vaccine introductions. FUNDING: WHO.",2014-99-16080,25103394,Lancet Glob Health,Mark Jit,2014,2 / 7,e406-14,No,25103394,"Mark Jit; Marc Brisson; Allison Portnoy; Raymond Hutubessy; Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study, Lancet Glob Health, ; 2(7):2214-109X; e406-14",DALY,Guyana,Not Stated,Immunization,Human papillomavirus (HPV) vaccination vs. None,Not Stated,12 Years,12 Years,Female,Full,,3.00,3,303,United States,2011,348.63
29325,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study,"BACKGROUND: Introduction of human papillomavirus (HPV) vaccination in settings with the highest burden of HPV is not universal, partly because of the absence of quantitative estimates of country-specific effects on health and economic costs. We aimed to develop and validate a simple generic model of such effects that could be used and understood in a range of settings with little external support. METHODS: We developed the Papillomavirus Rapid Interface for Modelling and Economics (PRIME) model to assess cost-effectiveness and health effects of vaccination of girls against HPV before sexual debut in terms of burden of cervical cancer and mortality. PRIME models incidence according to proposed vaccine efficacy against HPV 16/18, vaccine coverage, cervical cancer incidence and mortality, and HPV type distribution. It assumes lifelong vaccine protection and no changes to other screening programmes or vaccine uptake. We validated PRIME against existing reports of HPV vaccination cost-effectiveness, projected outcomes for 179 countries (assuming full vaccination of 12-year-old girls), and outcomes for 71 phase 2 GAVI-eligible countries (using vaccine uptake data from the GAVI Alliance). We assessed differences between countries in terms of cost-effectiveness and health effects. FINDINGS: In validation, PRIME reproduced cost-effectiveness conclusions for 24 of 26 countries from 17 published studies, and for all 72 countries in a published study of GAVI-eligible countries. Vaccination of a cohort of 58 million 12-year-old girls in 179 countries prevented 690,000 cases of cervical cancer and 420,000 deaths during their lifetime (mostly in low-income or middle-income countries), at a net cost of US$4 billion. HPV vaccination was very cost effective (with every disability-adjusted life-year averted costing less than the gross domestic product per head) in 156 (87%) of 179 countries. Introduction of the vaccine in countries without national HPV vaccination at present would prevent substantially more cases of cervical cancer than in countries with such programmes, although the disparity has narrowed since 2012. If 71 phase 2 GAVI-eligible countries adopt vaccination according to forecasts, then in 2070 GAVI Alliance-funded vaccination could prevent 200,000 cases of cervical cancer and 100,000 deaths in some of the highest-burden countries. INTERPRETATION: Large between-country disparities exist for HPV vaccination, with countries with the most to gain yet to introduce national HPV vaccination. Support from the GAVI Alliance could help to reduce such disparities, but a substantial burden will remain even after presently projected vaccine introductions. FUNDING: WHO.",2014-99-16080,25103394,Lancet Glob Health,Mark Jit,2014,2 / 7,e406-14,No,25103394,"Mark Jit; Marc Brisson; Allison Portnoy; Raymond Hutubessy; Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study, Lancet Glob Health, ; 2(7):2214-109X; e406-14",DALY,Haiti,Not Stated,Immunization,Human papillomavirus (HPV) vaccination vs. None,Not Stated,12 Years,12 Years,Female,Full,,3.00,3,530,United States,2011,609.81
29326,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study,"BACKGROUND: Introduction of human papillomavirus (HPV) vaccination in settings with the highest burden of HPV is not universal, partly because of the absence of quantitative estimates of country-specific effects on health and economic costs. We aimed to develop and validate a simple generic model of such effects that could be used and understood in a range of settings with little external support. METHODS: We developed the Papillomavirus Rapid Interface for Modelling and Economics (PRIME) model to assess cost-effectiveness and health effects of vaccination of girls against HPV before sexual debut in terms of burden of cervical cancer and mortality. PRIME models incidence according to proposed vaccine efficacy against HPV 16/18, vaccine coverage, cervical cancer incidence and mortality, and HPV type distribution. It assumes lifelong vaccine protection and no changes to other screening programmes or vaccine uptake. We validated PRIME against existing reports of HPV vaccination cost-effectiveness, projected outcomes for 179 countries (assuming full vaccination of 12-year-old girls), and outcomes for 71 phase 2 GAVI-eligible countries (using vaccine uptake data from the GAVI Alliance). We assessed differences between countries in terms of cost-effectiveness and health effects. FINDINGS: In validation, PRIME reproduced cost-effectiveness conclusions for 24 of 26 countries from 17 published studies, and for all 72 countries in a published study of GAVI-eligible countries. Vaccination of a cohort of 58 million 12-year-old girls in 179 countries prevented 690,000 cases of cervical cancer and 420,000 deaths during their lifetime (mostly in low-income or middle-income countries), at a net cost of US$4 billion. HPV vaccination was very cost effective (with every disability-adjusted life-year averted costing less than the gross domestic product per head) in 156 (87%) of 179 countries. Introduction of the vaccine in countries without national HPV vaccination at present would prevent substantially more cases of cervical cancer than in countries with such programmes, although the disparity has narrowed since 2012. If 71 phase 2 GAVI-eligible countries adopt vaccination according to forecasts, then in 2070 GAVI Alliance-funded vaccination could prevent 200,000 cases of cervical cancer and 100,000 deaths in some of the highest-burden countries. INTERPRETATION: Large between-country disparities exist for HPV vaccination, with countries with the most to gain yet to introduce national HPV vaccination. Support from the GAVI Alliance could help to reduce such disparities, but a substantial burden will remain even after presently projected vaccine introductions. FUNDING: WHO.",2014-99-16080,25103394,Lancet Glob Health,Mark Jit,2014,2 / 7,e406-14,No,25103394,"Mark Jit; Marc Brisson; Allison Portnoy; Raymond Hutubessy; Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study, Lancet Glob Health, ; 2(7):2214-109X; e406-14",DALY,Honduras,Not Stated,Immunization,Human papillomavirus (HPV) vaccination vs. None,Not Stated,12 Years,12 Years,Female,Full,,3.00,3,382,United States,2011,439.52
29327,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study,"BACKGROUND: Introduction of human papillomavirus (HPV) vaccination in settings with the highest burden of HPV is not universal, partly because of the absence of quantitative estimates of country-specific effects on health and economic costs. We aimed to develop and validate a simple generic model of such effects that could be used and understood in a range of settings with little external support. METHODS: We developed the Papillomavirus Rapid Interface for Modelling and Economics (PRIME) model to assess cost-effectiveness and health effects of vaccination of girls against HPV before sexual debut in terms of burden of cervical cancer and mortality. PRIME models incidence according to proposed vaccine efficacy against HPV 16/18, vaccine coverage, cervical cancer incidence and mortality, and HPV type distribution. It assumes lifelong vaccine protection and no changes to other screening programmes or vaccine uptake. We validated PRIME against existing reports of HPV vaccination cost-effectiveness, projected outcomes for 179 countries (assuming full vaccination of 12-year-old girls), and outcomes for 71 phase 2 GAVI-eligible countries (using vaccine uptake data from the GAVI Alliance). We assessed differences between countries in terms of cost-effectiveness and health effects. FINDINGS: In validation, PRIME reproduced cost-effectiveness conclusions for 24 of 26 countries from 17 published studies, and for all 72 countries in a published study of GAVI-eligible countries. Vaccination of a cohort of 58 million 12-year-old girls in 179 countries prevented 690,000 cases of cervical cancer and 420,000 deaths during their lifetime (mostly in low-income or middle-income countries), at a net cost of US$4 billion. HPV vaccination was very cost effective (with every disability-adjusted life-year averted costing less than the gross domestic product per head) in 156 (87%) of 179 countries. Introduction of the vaccine in countries without national HPV vaccination at present would prevent substantially more cases of cervical cancer than in countries with such programmes, although the disparity has narrowed since 2012. If 71 phase 2 GAVI-eligible countries adopt vaccination according to forecasts, then in 2070 GAVI Alliance-funded vaccination could prevent 200,000 cases of cervical cancer and 100,000 deaths in some of the highest-burden countries. INTERPRETATION: Large between-country disparities exist for HPV vaccination, with countries with the most to gain yet to introduce national HPV vaccination. Support from the GAVI Alliance could help to reduce such disparities, but a substantial burden will remain even after presently projected vaccine introductions. FUNDING: WHO.",2014-99-16080,25103394,Lancet Glob Health,Mark Jit,2014,2 / 7,e406-14,No,25103394,"Mark Jit; Marc Brisson; Allison Portnoy; Raymond Hutubessy; Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study, Lancet Glob Health, ; 2(7):2214-109X; e406-14",DALY,Hungary,Not Stated,Immunization,Human papillomavirus (HPV) vaccination vs. None,Not Stated,12 Years,12 Years,Female,Full,,3.00,3,11600,United States,2011,13346.76
